Time, Resistive_Voltage, Current
0.0000	,0.010266	,86.278580
0.1002	,0.060999	,86.242540
0.2004	,1.260630	,83.010640
0.3006	,3.489860	,77.335810
0.4008	,6.520290	,72.129530
0.5010	,9.354050	,67.311730
0.6012	,12.205520	,62.906420
0.7014	,13.311380	,58.777450
0.8016	,14.277726	,55.233180
0.9018	,14.866059	,52.205530
1.0020	,15.293589	,49.530310
1.1022	,15.495164	,47.151450
1.2024	,15.720060	,44.936780
1.3026	,15.729247	,42.990440
1.4028	,15.569177	,41.112180
1.5030	,15.376580	,39.382100
1.6032	,15.088914	,37.744120
1.7034	,14.807307	,36.230300
1.8036	,14.357396	,34.792570
1.9038	,14.116910	,33.422920
2.0040	,13.720574	,32.093320
2.1042	,13.317600	,30.819790
2.2044	,12.961767	,29.650380
2.3046	,12.517432	,28.513010
2.4048	,12.041362	,27.407680
2.5050	,11.745709	,26.322370
2.6052	,11.359400	,25.321170
2.7054	,10.946057	,24.376030
2.8056	,10.584135	,23.442910
2.9058	,10.268273	,22.493770
3.0060	,9.935281	,21.612710
3.1062	,9.489319	,20.807740
3.2064	,9.173059	,20.006770
3.3066	,8.925191	,19.229840
3.4068	,8.391077	,18.480940
3.5070	,8.161763	,17.744050
3.6072	,7.867432	,17.075250
3.7074	,7.540599	,16.418460
3.8076	,7.204314	,15.773680
3.9078	,6.989542	,15.132910
4.0080	,6.655253	,14.568230
4.1082	,6.435275	,13.979520
4.2084	,6.079112	,13.462900
4.3086	,5.956941	,12.942270
4.4088	,5.507801	,12.413640
4.5090	,5.336051	,11.961090
4.6092	,5.150715	,11.484520
4.7094	,5.005725	,11.076030
4.8096	,4.707806	,10.635500
4.9098	,4.626509	,10.219000
5.0100	,4.403479	,9.830527
5.1102	,4.143736	,9.446065
5.2104	,3.957038	,9.081627
5.3106	,3.834642	,8.721193
5.4108	,3.782541	,8.448865
5.5110	,3.518079	,8.080422
5.6112	,3.343317	,7.788070
5.7114	,3.235274	,7.467685
5.8116	,3.099030	,7.199362
5.9118	,2.934256	,6.935044
6.0120	,2.857819	,6.678735
6.1122	,2.695297	,6.462475
6.2124	,2.622954	,6.174128
6.3126	,2.538428	,5.945854
6.4128	,2.373830	,5.721583
6.5130	,2.249929	,5.533357
6.6132	,2.097441	,5.317097
6.7134	,2.139828	,5.136880
6.8136	,1.965258	,4.904601
6.9138	,1.948077	,4.752417
7.0140	,1.890889	,4.572201
7.1142	,1.769486	,4.408003
7.2144	,1.655156	,4.259825
7.3146	,1.585145	,4.079608
7.4148	,1.561468	,3.955458
7.5150	,1.467355	,3.819295
7.6152	,1.472377	,3.671116
7.7154	,1.383246	,3.490900
7.8156	,1.405633	,3.406798
7.9158	,1.198376	,3.302673
8.0160	,1.181724	,3.178524
8.1162	,1.177567	,3.066389
8.2164	,1.043862	,2.958259
8.3166	,1.056444	,2.846124
8.4168	,1.060042	,2.746003
8.5170	,1.091631	,2.665907
8.6172	,0.811366	,2.557777
8.7174	,0.882076	,2.489695
8.8176	,0.787793	,2.385570
8.9178	,0.842059	,2.289454
9.0180	,0.815571	,2.213362
9.1182	,0.749876	,2.137271
