Time, diff_strand
1.000000000000000000e+00, 1.051980928005235683e+00
1.199999999999999956e+00, 1.034950810780919772e+00
1.399999999999999911e+00, 9.525434132811299026e-01
1.599999999999999867e+00, 8.587252983025085440e-01
1.799999999999999822e+00, 7.701934443353419812e-01
1.999999999999999778e+00, 6.913275198250538045e-01
2.199999999999999734e+00, 6.223989250591391853e-01
2.399999999999999911e+00, 5.624193664828120998e-01
2.600000000000000089e+00, 5.101425951530221825e-01
2.800000000000000266e+00, 4.643979797155698419e-01
3.000000000000000444e+00, 4.241802041193730721e-01
3.200000000000000622e+00, 3.886534591834203134e-01
3.400000000000000799e+00, 3.571295485876552211e-01
3.600000000000000977e+00, 3.290415100248652025e-01
3.800000000000001155e+00, 3.039198507671835303e-01
4.000000000000000888e+00, 2.813730779661853254e-01
4.200000000000001066e+00, 2.610723307146685102e-01
4.400000000000001243e+00, 2.427394024338470346e-01
4.600000000000001421e+00, 2.261374099825152195e-01
4.800000000000001599e+00, 2.110634818357121634e-01
5.000000000000001776e+00, 1.973429766971936394e-01
5.200000000000001954e+00, 1.848248652925413293e-01
5.400000000000002132e+00, 1.733780031062191751e-01
5.600000000000002309e+00, 1.628880926783461969e-01
5.800000000000002487e+00, 1.532551857609002754e-01
6.000000000000002665e+00, 1.443916130421829813e-01
6.200000000000002842e+00, 1.362202562467381417e-01
6.400000000000003020e+00, 1.286730971706284976e-01
6.600000000000003197e+00, 1.216899927516594676e-01
6.800000000000003375e+00, 1.152176361044405517e-01
7.000000000000003553e+00, 1.092086716224434373e-01
7.200000000000003730e+00, 1.036209384975310399e-01
7.400000000000003908e+00, 9.841682184628013086e-02
7.600000000000004086e+00, 9.356269442514215939e-02
7.800000000000004263e+00, 8.902843492209996934e-02
8.000000000000003553e+00, 8.478701121807170893e-02
8.200000000000002842e+00, 8.081411895353295127e-02
8.400000000000002132e+00, 7.708786731605464515e-02
8.600000000000001421e+00, 1.135534428098680659e-01
8.800000000000000711e+00, 1.099539384667455877e-01
9.000000000000000000e+00, 1.064661915011427262e-01
9.199999999999999289e+00, 1.030875410432594702e-01
9.399999999999998579e+00, 9.981525675074871817e-02
