temperature, cv_equiv
1.000000000000000000e+00,1.296697416388662418e+02
1.494949494949495028e+00,2.165271485850153681e+02
1.989898989898990056e+00,3.713558600972086197e+02
2.484848484848485306e+00,5.897575729545839067e+02
2.979797979797980112e+00,8.796222427844887761e+02
3.474747474747474918e+00,1.252653845625185568e+03
3.969696969696970168e+00,1.722341915141718800e+03
4.464646464646465418e+00,2.303050564276915793e+03
4.959595959595960224e+00,3.009628610038606894e+03
5.454545454545455030e+00,3.857256463910985985e+03
5.949494949494949836e+00,4.861391323695766914e+03
6.444444444444445530e+00,6.037749317526874620e+03
6.939393939393940336e+00,7.402298960165641802e+03
7.434343434343435142e+00,8.971255720575469240e+03
7.929292929292930836e+00,1.076107395628771883e+04
8.424242424242425642e+00,1.278843511080171447e+04
8.919191919191920448e+00,1.001394720955845514e+04
9.414141414141415254e+00,1.140947483885562542e+04
9.909090909090910060e+00,1.295168697750118008e+04
1.040404040404040487e+01,1.465051485209252860e+04
1.089898989898989967e+01,1.651600913856845000e+04
1.139393939393939625e+01,1.855831194187954316e+04
1.188888888888889106e+01,2.078762767360263388e+04
1.238383838383838587e+01,2.321419322789577200e+04
1.287878787878788067e+01,2.584824782652022259e+04
1.337373737373737548e+01,2.870000287421259054e+04
1.386868686868687028e+01,3.177961213630830753e+04
1.436363636363636509e+01,3.509714252110449888e+04
1.485858585858586167e+01,3.866254572004291549e+04
1.535353535353535648e+01,4.248563092953783780e+04
1.584848484848485128e+01,4.657603884933347581e+04
1.634343434343434609e+01,5.094321712392177869e+04
1.683838383838384090e+01,5.559639736600669130e+04
1.733333333333333570e+01,6.054457387447805377e+04
1.782828282828283051e+01,6.579648413413282833e+04
1.832323232323232531e+01,7.136059116048717988e+04
1.881818181818182012e+01,7.724506773084044107e+04
1.931313131313131493e+01,8.345778252209999482e+04
1.980808080808080973e+01,9.000628815703169676e+04
2.030303030303030454e+01,9.689781114361637447e+04
2.079797979797979934e+01,1.041392436768360640e+05
2.129292929292929770e+01,1.117371372588203521e+05
2.178787878787879251e+01,1.196976980814792623e+05
2.228282828282828731e+01,1.280267841057467740e+05
2.277777777777778212e+01,1.367299037630916573e+05
2.327272727272727693e+01,1.458122161979895609e+05
2.376767676767677173e+01,1.552785329646581085e+05
2.426262626262626654e+01,1.651333210870842449e+05
2.475757575757576134e+01,1.753807073884365964e+05
2.525252525252525615e+01,1.860244839942764083e+05
2.574747474747475096e+01,1.970681149128563411e+05
2.624242424242424576e+01,2.085147435962361924e+05
2.673737373737374057e+01,2.203672013865018380e+05
2.723232323232323537e+01,2.326280167531300103e+05
2.772727272727273018e+01,2.452994252297193743e+05
2.822222222222222499e+01,2.583833799608958070e+05
2.871717171717172334e+01,2.710048236208162270e+05
2.921212121212121815e+01,2.835927384683148703e+05
2.970707070707071296e+01,2.964544757401986280e+05
3.020202020202020776e+01,3.095841739853321342e+05
3.069696969696970257e+01,3.229756503832803573e+05
3.119191919191919737e+01,3.366224132774005411e+05
3.168686868686869218e+01,3.505176747970269644e+05
3.218181818181818699e+01,3.646543635114503559e+05
3.267676767676768179e+01,3.790251370620803209e+05
3.317171717171717660e+01,3.936223947235916276e+05
3.366666666666667140e+01,4.084382898494630354e+05
3.416161616161616621e+01,4.234647421605016571e+05
3.465656565656566102e+01,4.386934498400172452e+05
3.515151515151515582e+01,4.541159014020757750e+05
3.564646464646465063e+01,4.697233873034982244e+05
3.614141414141414543e+01,4.855070112736732699e+05
3.663636363636364024e+01,5.014577013396297116e+05
3.713131313131313505e+01,5.175662205263446085e+05
3.762626262626262985e+01,5.338231772164965514e+05
3.812121212121212466e+01,5.502190351552006323e+05
3.861616161616161946e+01,5.667441230889193248e+05
3.911111111111111427e+01,5.833886440296887886e+05
3.960606060606060908e+01,6.001426841382073471e+05
4.010101010101010388e+01,6.169962212212431477e+05
4.059595959595959869e+01,6.339391328411780996e+05
4.109090909090910060e+01,6.509612040363865672e+05
4.158585858585859540e+01,6.680521346539491788e+05
4.208080808080809021e+01,6.852015462965099141e+05
4.257575757575758502e+01,7.023989888869294664e+05
4.307070707070707982e+01,7.196339468560242094e+05
4.356565656565657463e+01,7.368958449581824243e+05
4.406060606060606943e+01,7.541740537232427159e+05
4.455555555555556424e+01,7.714578945499842521e+05
4.505050505050505905e+01,7.887366444518060889e+05
4.554545454545455385e+01,8.059995404619707260e+05
4.604040404040404866e+01,8.232357837079640012e+05
4.653535353535354346e+01,8.404345431657222798e+05
4.703030303030303827e+01,8.575849591028434224e+05
4.752525252525253308e+01,8.746761462215969805e+05
4.802020202020202788e+01,8.916971965127934236e+05
4.851515151515152269e+01,9.086371818306867499e+05
4.901010101010101749e+01,9.254851562001809943e+05
4.950505050505051230e+01,9.422301578672942705e+05
5.000000000000000711e+01,9.588612111037380528e+05
