temperature, diffusivity_ratio
1.0	, 85363.0
1.5	, 17904.3
2.0	, 12068.8
2.5	, 11380.6
3.0	, 11870.3
3.5	, 12677.5
4.0	, 13500.3
4.5	, 14213.9
5.0	, 14770.8
5.5	, 15161.6
5.9	, 15395.8
6.4	, 15491.8
6.9	, 15470.5
7.4	, 15352.8
7.9	, 15158.0
8.4	, 14902.8
8.9	, 21974.3
9.4	, 22036.6
9.9	, 21975.6
10.4, 21811.0
10.9, 21560.9
11.4, 21241.1
11.9, 20865.8
12.4, 20447.1
12.9, 19995.3
13.4, 19519.1
13.9, 19026.0
14.4, 18522.0
14.9, 18012.1
15.4, 17500.3
15.8, 16990.0
16.3, 16483.7
16.8, 15983.4
17.3, 15490.8
17.8, 15007.2
18.3, 14533.2
18.8, 14069.7
19.3, 13617.0
19.8, 13175.4
20.3, 12745.1
20.8, 12325.9
21.3, 11918.0
21.8, 11521.2
22.3, 11135.3
22.8, 10760.2
23.3, 10395.7
23.8, 10041.5
24.3, 9697.4
24.8, 9363.2
25.3, 9038.8
25.7, 8723.7
26.2, 8417.9
26.7, 8121.1
27.2, 7833.1
27.7, 7553.8
28.2, 7282.8
28.7, 7042.8
29.2, 6817.9
29.7, 6599.2
30.2, 6386.6
30.7, 6179.9
31.2, 5979.0
31.7, 5783.7
32.2, 5594.0
32.7, 5409.8
33.2, 5230.8
33.7, 5057.1
34.2, 4888.5
34.7, 4724.8
35.2, 4566.1
35.6, 4412.3
36.1, 4263.1
36.6, 4118.5
37.1, 3978.5
37.6, 3843.0
38.1, 3711.9
38.6, 3585.1
39.1, 3462.6
39.6, 3344.4
40.1, 3230.3
40.6, 3120.4
41.1, 3014.5
41.6, 2912.7
42.1, 2814.9
42.6, 2721.0
43.1, 2630.9
43.6, 2544.6
44.1, 2461.9
44.6, 2382.8
45.1, 2307.1
45.5, 2234.8
46.0, 2165.7
46.5, 2099.7
47.0, 2036.6
47.5, 1976.4
48.0, 1919.0
48.5, 1864.1
49.0, 1811.7
49.5, 1761.6
50.0, 1713.8
