temperature, diffusivity_ratio
1.000	,   8.68E+04
1.900	,	1.27E+04
1.982	,	1.23E+04
2.064	,	1.20E+04
2.145	,	1.18E+04
2.227	,	1.17E+04
2.309	,	1.16E+04
2.391	,	1.16E+04
2.473	,	1.16E+04
2.555	,	1.16E+04
2.636	,	1.16E+04
2.718	,	1.17E+04
2.800	,	1.18E+04
2.882	,	1.19E+04
2.964	,	1.20E+04
3.045	,	1.22E+04
3.127	,	1.23E+04
3.209	,	1.24E+04
3.291	,	1.26E+04
3.373	,	1.27E+04
3.455	,	1.28E+04
3.536	,	1.30E+04
3.618	,	1.31E+04
3.700	,	1.33E+04
3.782	,	1.34E+04
3.864	,	1.35E+04
3.945	,	1.37E+04
4.027	,	1.38E+04
4.109	,	1.39E+04
4.191	,	1.40E+04
4.273	,	1.42E+04
4.355	,	1.43E+04
4.436	,	1.44E+04
4.518	,	1.45E+04
4.600	,	1.46E+04
4.682	,	1.47E+04
4.764	,	1.48E+04
4.845	,	1.49E+04
4.927	,	1.49E+04
5.009	,	1.50E+04
5.091	,	1.51E+04
5.173	,	1.51E+04
5.255	,	1.52E+04
5.336	,	1.53E+04
5.418	,	1.53E+04
5.500	,	1.54E+04
5.582	,	1.54E+04
5.664	,	1.54E+04
5.745	,	1.55E+04
5.827	,	1.55E+04
5.909	,	1.55E+04
5.991	,	1.56E+04
6.073	,	1.56E+04
6.155	,	1.56E+04
6.236	,	1.56E+04
6.318	,	1.56E+04
6.400	,	1.56E+04
6.482	,	1.56E+04
6.564	,	1.56E+04
6.645	,	1.56E+04
6.727	,	1.56E+04
6.809	,	1.56E+04
6.891	,	1.56E+04
6.973	,	1.55E+04
7.055	,	1.55E+04
7.136	,	1.55E+04
7.218	,	1.55E+04
7.300	,	1.54E+04
7.382	,	1.54E+04
7.464	,	1.54E+04
7.545	,	1.53E+04
7.627	,	1.53E+04
7.709	,	1.53E+04
7.791	,	1.52E+04
7.873	,	1.52E+04
7.955	,	1.51E+04
8.036	,	1.51E+04
8.118	,	1.50E+04
8.200	,	1.50E+04
8.282	,	1.49E+04
8.364	,	1.49E+04
8.445	,	2.16E+04
8.527	,	2.17E+04
8.609	,	2.17E+04
8.691	,	2.17E+04
8.773	,	2.17E+04
8.855	,	2.17E+04
8.936	,	2.17E+04
9.018	,	2.17E+04
9.100	,	2.17E+04
9.182	,	2.17E+04
9.264	,	2.17E+04
9.345	,	2.17E+04
9.427	,	2.17E+04
9.509	,	2.16E+04
9.591	,	2.16E+04
9.673	,	2.16E+04
9.755	,	2.15E+04
9.836	,	2.15E+04
9.918	,	2.14E+04
10.000	,	2.14E+04
10.082	,	2.14E+04
13.081	,	1.81E+04
16.101	,	1.40E+04
19.121	,	1.03E+04
22.141	,	7.55E+03
25.162	,	5.55E+03
28.182	,	4.14E+03
31.202	,	3.21E+03
34.222	,	2.53E+03
37.242	,	2.01E+03
40.263	,	1.62E+03
43.283	,	1.33E+03
46.303	,	1.10E+03
49.323	,	9.23E+02
52.343	,	7.87E+02
55.364	,	6.81E+02
58.384	,	5.98E+02
61.404	,	5.32E+02
64.424	,	4.80E+02
67.444	,	4.39E+02
70.465	,	4.06E+02
73.485	,	3.79E+02
76.505	,	3.57E+02
79.525	,	3.40E+02
82.545	,	3.25E+02
85.566	,	3.13E+02
88.586	,	3.04E+02
91.606	,	2.96E+02
94.626	,	2.89E+02
97.646	,	2.84E+02
100.667	,	2.79E+02
103.687	,	2.76E+02
106.707	,	2.73E+02
109.727	,	2.71E+02
112.747	,	2.69E+02
115.768	,	2.68E+02
118.788	,	2.67E+02
121.808	,	2.66E+02
124.828	,	2.65E+02
127.848	,	2.65E+02
130.869	,	2.65E+02
133.889	,	2.65E+02
136.909	,	2.65E+02
139.929	,	2.65E+02
142.949	,	2.66E+02
145.970	,	2.66E+02
148.990	,	2.66E+02
152.010	,	2.67E+02
155.030	,	2.67E+02
158.051	,	2.68E+02
161.071	,	2.68E+02
164.091	,	2.69E+02
167.111	,	2.69E+02
170.131	,	2.70E+02
173.152	,	2.70E+02
176.172	,	2.71E+02
179.192	,	2.71E+02
182.212	,	2.72E+02
185.232	,	2.72E+02
188.253	,	2.72E+02
191.273	,	2.73E+02
194.293	,	2.73E+02
197.313	,	2.73E+02
200.333	,	2.74E+02
203.354	,	2.74E+02
206.374	,	2.74E+02
209.394	,	2.74E+02
212.414	,	2.74E+02
215.434	,	2.75E+02
218.455	,	2.75E+02
221.475	,	2.75E+02
224.495	,	2.75E+02
227.515	,	2.75E+02
230.535	,	2.75E+02
233.556	,	2.75E+02
236.576	,	2.75E+02
239.596	,	2.75E+02
242.616	,	2.75E+02
245.636	,	2.75E+02
248.657	,	2.75E+02
251.677	,	2.75E+02
254.697	,	2.75E+02
257.717	,	2.74E+02
260.737	,	2.74E+02
263.758	,	2.74E+02
266.778	,	2.74E+02
269.798	,	2.74E+02
272.818	,	2.74E+02
275.838	,	2.74E+02
278.859	,	2.74E+02
281.879	,	2.74E+02
284.899	,	2.73E+02
287.919	,	2.73E+02
290.939	,	2.73E+02
293.960	,	2.73E+02
296.980	,	2.73E+02
300.000	,	2.73E+02
