posx,t_0_0_com,t_0_0_ans,t_0_03_com,t_0_03_ans,t_0_06_com,t_0_06_ans,t_0_1_com,t_0_1_ans
0.000, 19.90,	20.00,	21.84,	21.83,	24.92,	24.91,	28.18,	28.174
0.010, 19.20,	19.28,	21.78,	21.76,	24.89,	24.88,	28.17,	28.159
0.020, 17.20,	17.30,	21.59,	21.57,	24.81,	24.80,	28.12,	28.113
0.030, 14.40,	14.48,	21.30,	21.28,	24.69,	24.67,	28.05,	28.040
0.040, 11.30,	11.38,	20.95,	20.92,	24.52,	24.50,	27.96,	27.944
0.050, 8.490,	8.494,	20.56,	20.53,	24.33,	24.31,	27.84,	27.829
0.060, 6.120,	6.128,	20.16,	20.13,	24.13,	24.10,	27.72,	27.700
0.070, 4.400,	4.401,	19.77,	19.73,	23.92,	23.89,	27.58,	27.562
0.080, 3.260,	3.265,	19.39,	19.35,	23.70,	23.67,	27.44,	27.419
0.090, 2.580,	2.587,	19.02,	18.97,	23.49,	23.45,	27.30,	27.274
0.100, 2.210,	2.219,	18.67,	18.61,	23.28,	23.24,	27.15,	27.129
0.110, 2.030,	2.036,	18.31,	18.24,	23.07,	23.03,	27.01,	26.986
0.120, 1.950,	1.954,	17.95,	17.88,	22.87,	22.83,	26.87,	26.844
0.130, 1.910,	1.920,	17.59,	17.51,	22.68,	22.63,	26.74,	26.705
0.140, 1.900,	1.907,	17.22,	17.12,	22.48,	22.43,	26.60,	26.567
0.150, 1.900,	1.902,	16.83,	16.72,	22.29,	22.23,	26.47,	26.432
0.160, 1.900,	1.901,	16.41,	16.30,	22.09,	22.03,	26.34,	26.297
0.170, 1.900,	1.900,	15.98,	15.84,	21.89,	21.83,	26.20,	26.164
0.180, 1.900,	1.900,	15.50,	15.35,	21.69,	21.62,	26.07,	26.030
0.190, 1.900,	1.900,	14.99,	14.82,	21.49,	21.41,	25.94,	25.897
0.200, 1.900,	1.900,	14.43,	14.24,	21.28,	21.20,	25.81,	25.763
0.210, 1.900,	1.900,	13.81,	13.59,	21.07,	20.99,	25.68,	25.628
0.220, 1.900,	1.900,	13.11,	12.85,	20.85,	20.76,	25.55,	25.492
0.230, 1.900,	1.900,	12.31,	11.98,	20.63,	20.53,	25.41,	25.355
0.240, 1.900,	1.900,	11.35,	10.95,	20.40,	20.30,	25.28,	25.217
0.250, 1.900,	1.900,	10.17,	9.648,	20.16,	20.06,	25.14,	25.077
0.260, 1.900,	1.900,	8.607,	7.918,	19.92,	19.80,	25.00,	24.935
0.270, 1.900,	1.900,	6.924,	6.514,	19.67,	19.55,	24.86,	24.792
0.280, 1.900,	1.900,	5.871,	5.613,	19.41,	19.28,	24.72,	24.647
