posx,t_0_0_com,t_0_0_ans,error_0_0,t_0_03_com,t_0_03_ans,error_0_03,t_0_06_com,t_0_06_ans,error_0_06,t_0_1_com,t_0_1_ans,error_0_1
0.00,19.9,20.0,	0.50,	21.85,	21.84,	-0.04,	24.93,	24.91,	-0.05,	28.19,	28.17,-0.05
0.05,8.49,8.49,	0.04,	20.56,	20.54,	-0.14,	24.34,	24.32,	-0.09,	27.85,	27.83,-0.07
0.10,2.21,2.22,	0.40,	18.67,	18.61,	-0.32,	23.28,	23.24,	-0.17,	27.16,	27.13,-0.11
0.15,1.90,1.90,	0.11,	16.83,	16.73,	-0.63,	22.29,	22.23,	-0.25,	26.47,	26.43,-0.15
0.20,1.90,1.90,	0.00,	14.44,	14.24,	-1.36,	21.29,	21.21,	-0.37,	25.82,	25.76,-0.20
0.25,1.90,1.90,	0.00,	10.17,	9.65,	-5.14,	20.17,	20.06,	-0.54,	25.14,	25.08,-0.26
0.30,1.90,1.90,	0.00,	4.62,	4.49,	-2.84,	18.86,	18.71,	-0.80,	24.43,	24.35,-0.34
0.35,1.90,1.90,	0.00,	3.18,	3.13,	-1.37,	17.25,	17.04,	-1.26,	23.67,	23.57,-0.42
0.40,1.90,1.90,	0.00,	2.54,	2.52,	-0.77,	15.09,	14.75,	-2.29,	22.84,	22.72,-0.53
0.45,1.90,1.90,	0.00,	2.22,	2.21,	-0.44,	11.56,	10.81,	-6.47,	21.93,	21.78,-0.68
0.50,1.90,1.90,	0.00,	2.05,	2.05,	-0.22,	5.29,	4.92,	-6.94,	20.91,	20.73,-0.89
0.55,1.90,1.90,	0.00,	1.97,	1.97,	-0.09,	3.45,	3.33,	-3.30,	19.74,	19.51,-1.19
0.60,1.90,1.90,	0.00,	1.93,	1.93,	-0.04,	2.71,	2.66,	-1.88,	18.35,	18.05,-1.68
0.65,1.89,1.90,	0.53,	1.91,	1.91,	-0.02,	2.34,	2.31,	-1.10,	16.60,	16.16,-2.63
0.70,1.90,1.90,	0.00,	1.91,	1.90,	-0.01,	2.14,	2.12,	-0.62,	14.13,	13.40,-5.12
0.75,1.90,1.90,	0.00,	1.90,	1.90,	0.00,	2.03,	2.02,	-0.32,	9.45,	7.50,-20.68
0.80,1.90,1.90,	0.00,	1.90,	1.90,	0.00,	1.97,	1.96,	-0.17,	4.42,	4.05,-8.36
0.85,1.90,1.90,	0.00,	1.90,	1.90,	0.00,	1.93,	1.93,	-0.09,	3.15,	3.01,-4.57
0.90,1.90,1.90,	0.00,	1.90,	1.90,	0.00,	1.92,	1.92,	-0.05,	2.60,	2.53,-2.74
0.95,1.90,1.90,	0.00,	1.90,	1.90,	0.00,	1.91,	1.91,	-0.03,	2.35,	2.31,-1.80
1.00,1.90,1.90,	0.00,	1.90,	1.90,	0.00,	1.91,	1.91,	-0.02,	2.27,	2.24,-1.50
