posx,t_0_0_com,t_0_0_ans,t_0_03_com,t_0_03_ans,t_0_06_com,t_0_06_ans,t_0_1_com,t_0_1_ans
0.00,	19.90,	20.00,	20.06,	20.27,	21.40,	21.77,	23.41,	23.93
0.01,	19.20,	19.28,	19.83,	20.04,	21.29,	21.65,	23.35,	23.86
0.02,	17.20,	17.30,	19.19,	19.40,	20.97,	21.33,	23.17,	23.68
0.03,	14.40,	14.48,	18.30,	18.50,	20.49,	20.85,	22.89,	23.40
0.04,	11.30,	11.38,	17.28,	17.48,	19.91,	20.26,	22.54,	23.05
0.05,	8.49,	8.49,	16.25,	16.44,	19.28,	19.63,	22.15,	22.65
0.06,	6.12,	6.13,	15.25,	15.43,	18.65,	18.99,	21.73,	22.22
0.07,	4.40,	4.40,	14.30,	14.46,	18.02,	18.36,	21.30,	21.79
0.08,	3.26,	3.26,	13.37,	13.50,	17.41,	17.74,	20.87,	21.35
0.09,	2.58,	2.59,	12.41,	12.51,	16.82,	17.13,	20.45,	20.92
0.10,	2.21,	2.22,	11.38,	11.44,	16.23,	16.53,	20.04,	20.50
0.11,	2.03,	2.04,	10.20,	10.19,	15.64,	15.92,	19.63,	20.08
0.12,	1.95,	1.95,	8.73,	8.61,	15.03,	15.29,	19.23,	19.66
0.13,	1.91,	1.92,	7.01,	6.85,	14.39,	14.62,	18.82,	19.25
0.14,	1.90,	1.91,	5.81,	5.68,	13.71,	13.91,	18.41,	18.82
0.15,	1.90,	1.90,	4.99,	4.87,	12.96,	13.12,	17.99,	18.39
0.16,	1.90,	1.90,	4.39,	4.29,	12.12,	12.24,	17.56,	17.94
0.17,	1.90,	1.90,	3.94,	3.85,	11.16,	11.23,	17.11,	17.47
0.18,	1.90,	1.90,	3.59,	3.51,	10.01,	10.00,	16.64,	16.99
0.19,	1.90,	1.90,	3.31,	3.24,	8.52,	8.41,	16.15,	16.47
0.20,	1.90,	1.90,	3.08,	3.02,	6.87,	6.73,	15.63,	15.93
0.21,	1.90,	1.90,	2.89,	2.84,	5.76,	5.63,	15.07,	15.35
0.22,	1.90,	1.90,	2.74,	2.69,	4.99,	4.88,	14.47,	14.72
