posx,t_0_0_com,t_0_0_ans,error_0_0,t_0_03_com,t_0_03_ans,error_0_03,t_0_06_com,t_0_06_ans,error_0_06,t_0_1_com,t_0_1_ans,error_0_1
0.00,	19.90,	20.00,	0.503,	20.06,	20.27,	1.054,	21.40,	21.77,	1.695,	23.41,	23.93,	2.214
0.05,	8.49,	8.49,	0.043,	16.25,	16.44,	1.173,	19.28,	19.63,	1.820,	22.15,	22.65,	2.266
0.10,	2.21,	2.22,	0.396,	11.38,	11.44,	0.488,	16.23,	16.53,	1.814,	20.04,	20.50,	2.300
0.15,	1.90,	1.90,	0.108,	4.99,	4.87,	-2.328,	12.96,	13.12,	1.257,	17.99,	18.39,	2.205
0.20,	1.90,	1.90,	0.000,	3.08,	3.02,	-1.897,	6.87,	6.73,	-2.078,	15.63,	15.93,	1.909
0.25,	1.90,	1.90,	0.000,	2.41,	2.37,	-1.419,	3.69,	3.61,	-2.017,	12.30,	12.44,	1.111
0.30,	1.90,	1.90,	0.000,	2.11,	2.10,	-0.900,	2.76,	2.71,	-1.650,	5.99,	5.86,	-2.119
0.35,	1.90,	1.90,	0.000,	1.98,	1.98,	-0.456,	2.34,	2.31,	-1.305,	3.53,	3.46,	-1.913
0.40,	1.90,	1.90,	0.000,	1.93,	1.93,	-0.213,	2.13,	2.11,	-0.927,	2.74,	2.70,	-1.596
0.45,	1.90,	1.90,	0.000,	1.91,	1.91,	-0.087,	2.02,	2.00,	-0.573,	2.37,	2.34,	-1.309
0.50,	1.90,	1.90,	0.000,	1.90,	1.90,	-0.031,	1.96,	1.95,	-0.339,	2.17,	2.15,	-1.008
0.55,	1.90,	1.90,	0.000,	1.90,	1.90,	-0.009,	1.93,	1.92,	-0.191,	2.05,	2.04,	-0.697
0.60,	1.90,	1.90,	0.000,	1.90,	1.90,	-0.002,	1.91,	1.91,	-0.100,	1.99,	1.98,	-0.458
0.65,	1.89,	1.90,	0.529,	1.90,	1.90,	-0.001,	1.90,	1.90,	-0.049,	1.95,	1.94,	-0.298
0.70,	1.90,	1.90,	0.000,	1.90,	1.90,	0.000,	1.90,	1.90,	-0.022,	1.93,	1.92,	-0.187
0.75,	1.90,	1.90,	0.000,	1.90,	1.90,	0.000,	1.90,	1.90,	-0.009,	1.91,	1.91,	-0.113
0.80,	1.90,	1.90,	0.000,	1.90,	1.90,	0.000,	1.90,	1.90,	-0.003,	1.91,	1.91,	-0.065
0.85,	1.90,	1.90,	0.000,	1.90,	1.90,	0.000,	1.90,	1.90,	-0.001,	1.90,	1.90,	-0.035
0.90,	1.90,	1.90,	0.000,	1.90,	1.90,	0.000,	1.90,	1.90,	0.000,	1.90,	1.90,	-0.019
0.95,	1.90,	1.90,	0.000,	1.90,	1.90,	0.000,	1.90,	1.90,	0.000,	1.90,	1.90,	-0.011
1.00,	1.90,	1.90,	0.000,	1.90,	1.90,	0.000,	1.90,	1.90,	0.000,	1.90,	1.90,	-0.009
