Time, B_0_0_RRR_100, B_3_0_RRR_100, B_0_0_RRR_200, B_3_0_RRR_200
1.000000000000000000e+00,1.553000170158005968e-10,2.621449251083903404e-10,7.765001701580019806e-11,1.927321449998734224e-10
2.000000000000000000e+00,1.553003823638703120e-10,2.621452582059285362e-10,7.765038236366830085e-11,1.927324633908477732e-10
3.000000000000000000e+00,1.553023611599855019e-10,2.621470623277530418e-10,7.765236115228229388e-11,1.927341878543497828e-10
4.000000000000000000e+00,1.553085920461886210e-10,2.621527432042787220e-10,7.765859194419207058e-11,1.927396178485938145e-10
5.000000000000000000e+00,1.553233998824685284e-10,2.621662439879123202e-10,7.767339912606782404e-11,1.927525220882920972e-10
6.000000000000000000e+00,1.553530541888307586e-10,2.621932810212918635e-10,7.770305030170710081e-11,1.927783631375721015e-10
7.000000000000000000e+00,1.554059934450111657e-10,2.622415486912015346e-10,7.775597793882502062e-11,1.928244912822658721e-10
8.000000000000000000e+00,1.554930237108896339e-10,2.623209012726613757e-10,7.784297233367501344e-11,1.929003142153953898e-10
9.000000000000000000e+00,1.556274951635010802e-10,2.624435153170335332e-10,7.797734747565042215e-11,1.930174444619863892e-10
1.000000000000000000e+01,1.558254573450642355e-10,2.626240336834184463e-10,7.817507793718077388e-11,1.931898236441062482e-10
1.100000000000000000e+01,1.561057919522339823e-10,2.628796906293117623e-10,7.845490234333744043e-11,1.934338206343263537e-10
1.200000000000000000e+01,1.564903204580780938e-10,2.632304160812223761e-10,7.883838701889633561e-11,1.937682991021590550e-10
1.300000000000000000e+01,1.570038826184405050e-10,2.636989161717170591e-10,7.934994214067526715e-11,1.942146489495618181e-10
1.400000000000000000e+01,1.576743809798455625e-10,2.643107263461732336e-10,8.001678240119938850e-11,1.947967758402130707e-10
1.500000000000000000e+01,1.585327859625100162e-10,2.650942328683513814e-10,8.086882518807345922e-11,1.955410437284439583e-10
1.600000000000000000e+01,1.596130960780848246e-10,2.660806584920168307e-10,8.193852200265932433e-11,1.964761672968640005e-10
1.700000000000000000e+01,1.609522485278860159e-10,2.673040085480438464e-10,8.326062359687800384e-11,1.976330547772381474e-10
1.800000000000000000e+01,1.625899769886686698e-10,2.688009748628488459e-10,8.487188617432287590e-11,1.990446068537137245e-10
1.900000000000000000e+01,1.645686159715944717e-10,2.706107968953231089e-10,8.681073464529682336e-11,2.007454840271116028e-10
2.000000000000000000e+01,1.669328547963872296e-10,2.727750823199326313e-10,8.911690845055657835e-11,2.027718623219501104e-10
2.100000000000000000e+01,1.697294488795602573e-10,2.753375929572817590e-10,9.183112437695108792e-11,2.051612044231821789e-10
2.200000000000000000e+01,1.730069014250235644e-10,2.783440062792554939e-10,9.499479711027950901e-11,2.079520786979937553e-10
2.300000000000000000e+01,1.768151342338565336e-10,2.818416673341800810e-10,9.864985992680020252e-11,2.111840603872357430e-10
2.400000000000000000e+01,1.812051715020102766e-10,2.858793503017777684e-10,1.028387232845265399e-10,2.148977461095535388e-10
2.500000000000000000e+01,1.862288642720708216e-10,2.905070522984684184e-10,1.076043975811850411e-10,2.191349040658362976e-10
2.600000000000000000e+01,1.919386847319160580e-10,2.957758437443040910e-10,1.129907889744155739e-10,2.239387685301268365e-10
2.700000000000000000e+01,1.983876180362172574e-10,3.017377988780214257e-10,1.190431564860431041e-10,2.293544702688138955e-10
2.800000000000000000e+01,2.056291743425125308e-10,3.084460264119448100e-10,1.258086983439636846e-10,2.354295773769490386e-10
2.900000000000000000e+01,2.137175354061576410e-10,3.159548138044575844e-10,1.333372195786148085e-10,2.422147069251612924e-10
3.000000000000000000e+01,2.227078390905234398e-10,3.243198896574393299e-10,1.416818243545380779e-10,2.497641594910974420e-10
3.100000000000000000e+01,2.326565928143267928e-10,3.335987982957487679e-10,1.508995767443160672e-10,2.581365275287974548e-10
3.200000000000000000e+01,2.436221948698923883e-10,3.438513699473753474e-10,1.610520819268774427e-10,2.673952343335365975e-10
3.300000000000000000e+01,2.556655305964459209e-10,3.551402588958845359e-10,1.722059520847904153e-10,2.776089698529194271e-10
3.400000000000000000e+01,2.688505812163242223e-10,3.675314941278648224e-10,1.844331168790049696e-10,2.888519840513494058e-10
3.500000000000000000e+01,2.832448522487105453e-10,3.810948622148821890e-10,1.978108341230723678e-10,3.012041005379637026e-10
3.600000000000000000e+01,2.989190575972862908e-10,3.959035872073387986e-10,2.124209167620680442e-10,3.147499932320650697e-10
3.700000000000000000e+01,3.159450190366801664e-10,4.120323087224541563e-10,2.283472315588169099e-10,3.295768247235480548e-10
3.800000000000000000e+01,3.343908441735038388e-10,4.295524368345848256e-10,2.456705810981292463e-10,3.457693709449339314e-10
3.900000000000000000e+01,3.543136527385101116e-10,4.485250961315256084e-10,2.644611782227608556e-10,3.634027674387019146e-10
4.000000000000000000e+01,3.757517839143279900e-10,4.689934709850979740e-10,2.847705090452072225e-10,3.825345260752467703e-10
