temperature, B0,        B3,         B5,         B10
1.00000,	 315.455,	127.094,	88.4890,	49.9280
4.02000,	 1266.14,	510.154,	355.200,	200.417
7.04000,	 2191.65,	883.798,	615.444,	347.308
10.0610,	 3020.30,	1222.32,	851.724,	480.957
13.0810,	 3639.05,	1487.37,	1038.26,	587.346
16.1010,	 3956.07,	1651.39,	1157.21,	657.209
19.1210,	 3968.92,	1719.50,	1213.51,	694.158
22.1410,	 3757.44,	1721.66,	1228.94,	711.205
25.1620,	 3421.03,	1687.11,	1224.10,	720.518
28.1820,	 3036.59,	1631.42,	1209.23,	728.141
31.2020,	 2652.64,	1560.08,	1186.49,	735.181
34.2220,	 2296.57,	1475.67,	1155.32,	740.709
37.2420,	 1981.59,	1381.49,	1115.40,	743.429
40.2630,	 1711.65,	1281.53,	1067.07,	741.762
43.2830,	 1485.18,	1179.60,	1010.88,	733.366
46.3030,	 1297.73,	1079.75,	948.890,	716.818
49.3230,	 1143.84,	986.208,	885.087,	693.405
52.3430,	 1018.01,	901.947,	823.523,	666.053
55.3640,	 915.291,	828.160,	766.860,	637.541
58.3840,	 831.378,	764.706,	716.299,	609.774
61.4040,	 762.712,	710.732,	672.064,	583.838
64.4240,	 706.381,	665.113,	633.838,	560.249
67.4440,	 660.027,	626.685,	601.064,	539.176
70.4650,	 621.755,	594.363,	573.102,	520.586
73.4850,	 590.047,	567.184,	549.316,	504.335
76.5050,	 563.683,	544.316,	529.115,	490.224
79.5250,	 541.686,	525.054,	511.971,	478.033
82.5450,	 523.270,	508.806,	497.421,	467.540
85.5660,	 507.801,	495.074,	485.066,	458.533
88.5860,	 494.765,	483.449,	474.567,	450.818
91.6060,	 483.745,	473.586,	465.636,	444.220
94.6260,	 474.400,	465.202,	458.029,	438.584
97.6460,	 466.454,	458.060,	451.541,	433.773
100.667,	 459.676,	451.962,	446.000,	429.668
103.687,	 453.880,	446.746,	441.259,	426.169
106.707,	 448.909,	442.274,	437.198,	423.186
109.727,	 444.634,	438.431,	433.712,	420.645
112.747,	 440.948,	435.123,	430.716,	418.480
115.768,	 437.761,	432.267,	428.135,	416.635
118.788,	 434.997,	429.797,	425.909,	415.064
121.808,	 432.594,	427.655,	423.984,	413.726
124.828,	 430.498,	425.792,	422.316,	412.586
127.848,	 428.664,	424.169,	420.868,	411.615
130.869,	 427.055,	422.749,	419.607,	410.788
133.889,	 425.637,	421.503,	418.505,	410.081
136.909,	 424.383,	420.407,	417.541,	409.478
139.929,	 423.271,	419.438,	416.693,	408.963
142.949,	 422.279,	418.579,	415.944,	408.520
145.970,	 421.391,	417.813,	415.281,	408.140
148.990,	 420.593,	417.128,	414.690,	407.812
152.010,	 419.871,	416.511,	414.161,	407.527
155.030,	 419.215,	415.952,	413.684,	407.279
158.051,	 418.616,	415.444,	413.252,	407.060
161.071,	 418.065,	414.978,	412.858,	406.866
164.091,	 417.556,	414.549,	412.496,	406.691
167.111,	 417.082,	414.151,	412.161,	406.533
170.131,	 416.639,	413.778,	411.848,	406.387
173.152,	 416.223,	413.428,	411.554,	406.250
176.172,	 415.828,	413.097,	411.276,	406.121
179.192,	 415.453,	412.781,	411.010,	405.997
182.212,	 415.093,	412.479,	410.755,	405.876
185.232,	 414.747,	412.187,	410.509,	405.757
188.253,	 414.413,	411.903,	410.268,	405.638
191.273,	 414.088,	411.627,	410.033,	405.519
194.293,	 413.771,	411.357,	409.802,	405.398
197.313,	 413.460,	411.091,	409.574,	405.276
200.333,	 413.155,	410.829,	409.347,	405.150
203.354,	 412.854,	410.569,	409.122,	405.021
206.374,	 412.557,	410.311,	408.896,	404.889
209.394,	 412.262,	410.054,	408.670,	404.752
212.414,	 411.969,	409.797,	408.444,	404.612
215.434,	 411.678,	409.541,	408.217,	404.466
218.455,	 411.388,	409.284,	407.988,	404.317
221.475,	 411.098,	409.026,	407.757,	404.162
224.495,	 410.808,	408.768,	407.524,	404.003
227.515,	 410.519,	408.508,	407.290,	403.839
230.535,	 410.229,	408.247,	407.053,	403.671
233.556,	 409.938,	407.984,	406.814,	403.497
236.576,	 409.647,	407.720,	406.572,	403.320
239.596,	 409.356,	407.455,	406.328,	403.137
242.616,	 409.063,	407.187,	406.082,	402.950
245.636,	 408.769,	406.918,	405.833,	402.759
248.657,	 408.475,	406.647,	405.582,	402.564
251.677,	 408.179,	406.374,	405.328,	402.364
254.697,	 407.882,	406.100,	405.072,	402.161
257.717,	 407.584,	405.824,	404.814,	401.953
260.737,	 407.285,	405.546,	404.553,	401.742
263.758,	 406.985,	405.266,	404.290,	401.527
266.778,	 406.684,	404.985,	404.026,	401.309
269.798,	 406.382,	404.702,	403.759,	401.087
272.818,	 406.079,	404.418,	403.490,	400.862
275.838,	 405.775,	404.132,	403.219,	400.634
278.859,	 405.470,	403.845,	402.947,	400.403
281.879,	 405.165,	403.556,	402.672,	400.169
284.899,	 404.858,	403.267,	402.396,	399.933
287.919,	 404.551,	402.976,	402.119,	399.694
290.939,	 404.243,	402.684,	401.840,	399.452
293.960,	 403.934,	402.390,	401.560,	399.208
296.980,	 403.625,	402.096,	401.278,	398.962
300.000,	 403.315,	401.801,	400.995,	398.713
