
temperature, B0,       B3,        B5,        B10
1.00000,	    78.8640, 	    60.1900,    50.5700,        35.6120
4.02000,	    316.931,	    241.888,    203.229,        143.117
7.04000,	    553.521,	    422.494,    354.986,        250.002
10.0610,	    784.124,	    598.740,    503.163,        354.451
13.0810,	    999.899,	    764.322,    642.642,        453.047
16.1010,	    1188.08,	    910.315,    766.261,        541.092
19.1210,	    1334.79,	    1027.22,    866.511,        613.800
22.1410,	    1429.56,	    1108.17,    938.108,        668.020
25.1620,	    1469.43,	    1151.41,    979.950,        703.459
28.1820,	    1459.67,	    1160.55,    995.106,        722.523
31.2020,	    1411.20,	    1142.50,    989.012,        728.941
34.2220,	    1336.72,	    1104.88,    967.373,        726.275
37.2420,	    1247.78,	    1054.44,    934.994,        717.152
40.2630,	    1153.51,	    996.564,    895.494,        703.129
43.2830,	    1060.39,	    935.221,    851.382,        684.732
46.3030,	    972.629,		873.498,    804.750,        662.319
49.3230,	    892.592,		813.984,    757.840,        637.039
52.3430,	    821.331,		758.617,    712.724,        610.585
55.3640,	    758.980,		708.525,    670.867,        584.501
58.3840,	    705.110,		664.124,    633.046,        559.851
61.4040,	    658.983,		625.339,    599.509,        537.232
64.4240,	    619.728,		591.805,    570.164,        516.896
67.4440,	    586.459,		563.020,    544.728,        498.881
70.4650,	    558.334,		538.432,    522.827,        483.095
73.4850,	    534.591,		517.499,    504.062,        469.374
76.5050,	    514.556,		499.717,    488.038,        457.526
79.5250,	    497.650,		484.631,    474.387,        447.346
82.5450,	    483.377,		471.841,    462.777,        438.635
85.5660,	    471.318,		461.001,    452.915,        431.208
88.5860,	    461.118,		451.813,    444.543,        424.895
91.6060,	    452.484,		444.024,    437.441,        419.543
94.6260,	    445.165,		437.420,    431.418,        415.018
97.6460,	    438.955,		431.817,    426.311,        411.202
100.667,	    433.681,		427.062,    421.984,        407.993
103.687,	    429.196,		423.026,    418.317,        405.302
106.707,	    425.378,		419.598,    415.213,        403.052
109.727,	    422.126,		416.687,    412.585,        401.179
112.747,	    419.353,		414.215,    410.362,        399.626
115.768,	    416.986,		412.115,    408.483,        398.345
118.788,	    414.965,		410.331,    406.897,        397.294
121.808,	    413.237,		408.815,    405.559,        396.439
124.828,	    411.759,		407.529,    404.433,        395.749
127.848,	    410.493,		406.436,    403.486,        395.198
130.869,	    409.409,		405.509,    402.690,        394.765
133.889,	    408.478,		404.723,    402.024,        394.430
136.909,	    407.679,		404.055,    401.467,        394.178
139.929,	    406.992,		403.488,    401.002,        393.994
142.949,	    406.399,		403.008,    400.615,        393.868
145.970,	    405.887,		402.599,    400.294,        393.788
148.990,	    405.444,		402.252,    400.027,        393.746
152.010,	    405.058,		401.955,    399.806,        393.735
155.030,	    404.721,		401.702,    399.624,        393.749
158.051,	    404.426,		401.485,    399.472,        393.782
161.071,	    404.165,		401.297,    399.346,        393.829
164.091,	    403.933,		401.134,    399.241,        393.888
167.111,	    403.724,		400.991,    399.153,        393.953
170.131,	    403.536,		400.864,    399.078,        394.024
173.152,	    403.363,		400.749,    399.012,        394.096
176.172,	    403.203,		400.645,    398.954,        394.169
179.192,	    403.054,		400.548,    398.901,        394.241
182.212,	    402.912,		400.456,    398.852,        394.309
185.232,	    402.777,		400.368,    398.804,        394.374
188.253,	    402.645,		400.282,    398.756,        394.434
191.273,	    402.517,		400.196,    398.707,        394.488
194.293,	    402.390,		400.111,    398.656,        394.536
197.313,	    402.264,		400.024,    398.603,        394.577
200.333,	    402.137,		399.936,    398.546,        394.610
203.354,	    402.010,		399.845,    398.486,        394.637
206.374,	    401.881,		399.750,    398.421,        394.655
209.394,	    401.749,		399.653,    398.351,        394.666
212.414,	    401.615,		399.551,    398.277,        394.668
215.434,	    401.479,		399.445,    398.197,        394.663
218.455,	    401.338,		399.335,    398.113,        394.649
221.475,	    401.195,		399.221,    398.022,        394.628
224.495,	    401.048,		399.101,    397.927,        394.599
227.515,	    400.897,		398.978,    397.825,        394.562
230.535,	    400.742,		398.849,    397.719,        394.517
233.556,	    400.584,		398.716,    397.607,        394.465
236.576,	    400.422,		398.578,    397.489,        394.405
239.596,	    400.255,		398.435,    397.366,        394.339
242.616,	    400.085,		398.288,    397.238,        394.265
245.636,	    399.911,		398.136,    397.105,        394.185
248.657,	    399.733,		397.980,    396.967,        394.097
251.677,	    399.552,		397.819,    396.824,        394.004
254.697,	    399.367,		397.655,    396.676,        393.904
257.717,	    399.178,		397.486,    396.523,        393.798
260.737,	    398.986,		397.312,    396.366,        393.686
263.758,	    398.790,		397.135,    396.205,        393.569
266.778,	    398.591,		396.955,    396.039,        393.446
269.798,	    398.389,		396.770,    395.869,        393.318
272.818,	    398.184,		396.582,    395.695,        393.185
275.838,	    397.975,		396.390,    395.518,        393.046
278.859,	    397.764,		396.196,    395.336,        392.903
281.879,	    397.550,		395.997,    395.151,        392.756
284.899,	    397.334,		395.796,    394.963,        392.604
287.919,	    397.114,		395.592,    394.771,        392.448
290.939,	    396.893,		395.385,    394.577,        392.287
293.960,	    396.669,		395.175,    394.379,        392.123
296.980,	    396.442,		394.963,    394.178,        391.955
300.000,	    396.214,		394.748,    393.975,        391.784
