Time, Resistive_Voltage, Current
0.00000	,0.0019691	,86.278580
0.00220	,0.0005474	,86.278580
0.00440	,0.0030544	,86.302600
0.00660	,0.0016046	,86.366680
0.00880	,-0.0006821	,86.294590
0.01100	,0.0010920	,86.314620
0.01320	,0.0004793	,86.330640
0.01540	,-0.0001895	,86.358680
0.01760	,0.0030664	,86.378700
0.01980	,0.0046883	,86.338650
0.02200	,0.0037592	,86.386710
0.02420	,0.0070151	,86.354680
0.02640	,0.0064625	,86.382710
0.02860	,0.0052891	,86.350670
0.03080	,0.0066187	,86.338650
0.03300	,0.0062943	,86.362690
0.03520	,0.0063383	,86.362690
0.03740	,0.0094941	,86.342660
0.03960	,0.0113243	,86.322630
0.04180	,0.0111441	,86.350670
0.04400	,0.0138113	,86.366680
0.04620	,0.0134309	,86.334650
0.04840	,0.0142478	,86.314620
0.05060	,0.0132947	,86.322630
0.05280	,0.0132026	,86.274570
0.05500	,0.0139074	,86.286580
0.05720	,0.0162302	,86.282590
0.05940	,0.0179683	,86.262560
0.06160	,0.0189896	,86.282590
0.06380	,0.0203151	,86.278580
0.06600	,0.0199747	,86.270570
0.06820	,0.0215727	,86.242540
0.07040	,0.0200348	,86.266560
0.07260	,0.0216928	,86.298600
0.07480	,0.0258899	,86.282590
0.07700	,0.0275278	,86.266560
0.07920	,0.0321494	,86.290590
0.08140	,0.0367469	,86.262560
0.08360	,0.0401710	,86.290590
0.08580	,0.0458659	,86.342660
0.08800	,0.0493661	,86.346660
0.09020	,0.0534350	,86.342660
0.09240	,0.0596786	,86.378700
0.09460	,0.0705156	,86.390720
0.09680	,0.0721576	,86.374690
0.09900	,0.0765228	,86.374690
0.10120	,0.0840559	,86.358680
0.10340	,0.0882290	,86.342660
0.10560	,0.0910083	,86.366680
0.10780	,0.0960344	,86.346660
0.11000	,0.1012406	,86.334650
0.11220	,0.1053136	,86.346660
0.11440	,0.1142123	,86.326640
0.11660	,0.1278127	,86.350670
0.11880	,0.1375605	,86.282590
0.12100	,0.1501237	,86.314620
0.12320	,0.1616656	,86.306610
0.12540	,0.1700437	,86.286580
0.12760	,0.1795312	,86.310620
0.12980	,0.1890988	,86.250540
0.13200	,0.2014017	,86.254550
0.13420	,0.2135965	,86.258550
0.13640	,0.2244617	,86.258550
0.13860	,0.2342616	,86.262560
0.14080	,0.2478181	,86.258550
0.14300	,0.2629926	,86.286580
0.14520	,0.2753476	,86.278580
0.14740	,0.2890203	,86.310620
0.14960	,0.3047956	,86.310620
