temperature, g10_cv
1,	7.608323191
4.02020202,	3980.817384
7.04040404,	15046.98606
10.0606060,	30245.56595
13.0808080,	47764.63132
16.1010101,	66585.96889
19.1212121,	86123.71826
22.1414141,	106035.626
25.1616161,	126120.7202
28.1818181,	146261.8636
31.2020202,	166392.5259
34.2222222,	186477.0675
37.2424242,	206498.7894
40.2626262,	226452.5619
43.2828282,	246340.2165
46.3030303,	266167.6373
49.3232323,	285942.9145
52.3434343,	305675.1725
55.3636363,	325373.8297
58.3838383,	345048.1381
61.4040404,	364706.9046
64.4242424,	384358.3311
67.4444444,	404009.9314
70.4646464,	423668.4981
73.4848484,	443340.1019
76.5050505,	463030.1103
79.5252525,	482743.2181
82.5454545,	502483.4856
85.5656565,	522254.3786
88.5858585,	542058.8101
91.6060606,	561899.1815
94.6262626,	581777.4219
97.6464646,	601695.0258
100.666666,	621653.0882
103.686868,	641652.3375
106.707070,	661693.1663
109.727272,	681775.6592
112.747474,	701899.6191
115.767676,	722064.5908
118.787878,	742269.8836
121.808080,	762514.5907
124.828282,	782797.6084
127.848484,	803117.6526
130.868686,	823473.2749
133.888888,	843862.8769
136.909090,	864284.7231
139.929292,	884736.9534
142.949494,	905217.5944
145.969697,	925724.5693
148.989899,	946255.7079
152.010101,	966808.7553
155.030303,	987381.38
158.050505,	1007971.181
161.070707,	1028575.697
164.090909,	1049192.409
167.111111,	1069818.75
170.131313,	1090452.108
173.151515,	1111089.835
176.171717,	1131729.245
179.191919,	1152367.628
182.212121,	1173002.244
185.232323,	1193630.337
188.252525,	1214249.129
191.272727,	1234855.833
194.292929,	1255447.647
197.313131,	1276021.764
200.333333,	1296575.374
203.353535,	1317105.662
206.373737,	1337609.815
209.393939,	1358085.024
212.414141,	1378528.483
215.434343,	1398937.396
218.454545,	1419308.975
221.474747,	1439640.443
224.494949,	1459929.036
227.515151,	1480172.007
230.535353,	1500366.621
233.555555,	1520510.165
236.575757,	1540599.941
239.595959,	1560633.275
242.616161,	1580607.513
245.636363,	1600520.023
248.656565,	1620368.198
251.676767,	1640149.455
254.696969,	1659861.239
257.717171,	1679501.018
260.737373,	1699066.291
263.757575,	1718554.583
266.777777,	1737963.451
269.797979,	1757290.478
272.818181,	1776533.281
275.838383,	1795689.507
278.858585,	1814756.833
281.878787,	1833732.971
284.898989,	1852615.663
287.919191,	1871402.687
290.939393,	1890091.852
293.959596,	1908681.004
296.979798,	1927168.02
300,      	1945550.813
