temperature, g10_thermal_conductivity
1.0000, 	 0.0001
4.0202, 	 0.0726
7.0404, 	 0.0973
10.0606,	 0.1125
13.0808,	 0.1267
16.1010,	 0.1402
19.1212,	 0.1529
22.1414,	 0.1647
25.1616,	 0.1755
28.1818,	 0.1855
31.2020,	 0.1947
34.2222,	 0.2031
37.2424,	 0.2109
40.2626,	 0.2181
43.2828,	 0.2248
46.3030,	 0.2310
49.3232,	 0.2369
52.3434,	 0.2424
55.3636,	 0.2477
58.3838,	 0.2527
61.4040,	 0.2575
64.4242,	 0.2621
67.4444,	 0.2666
70.4646,	 0.2709
73.4848,	 0.2752
76.5051,	 0.2793
79.5253,	 0.2833
82.5455,	 0.2873
85.5657,	 0.2913
88.5859,	 0.2952
91.6061,	 0.2990
94.6263,	 0.3028
97.6465,	 0.3066
100.6667,	 0.3104
103.6869,	 0.3142
106.7071,	 0.3180
109.7273,	 0.3218
112.7475,	 0.3256
115.7677,	 0.3294
118.7879,	 0.3332
121.8081,	 0.3370
124.8283,	 0.3409
127.8485,	 0.3447
130.8687,	 0.3486
133.8889,	 0.3525
136.9091,	 0.3564
139.9293,	 0.3604
142.9495,	 0.3644
145.9697,	 0.3684
148.9899,	 0.3724
152.0101,	 0.3764
155.0303,	 0.3805
158.0505,	 0.3846
161.0707,	 0.3888
164.0909,	 0.3929
167.1111,	 0.3971
170.1313,	 0.4013
173.1515,	 0.4056
176.1717,	 0.4099
179.1919,	 0.4142
182.2121,	 0.4185
185.2323,	 0.4229
188.2525,	 0.4273
191.2727,	 0.4317
194.2929,	 0.4362
197.3131,	 0.4407
200.3333,	 0.4452
203.3535,	 0.4498
206.3737,	 0.4543
209.3939,	 0.4589
212.4141,	 0.4636
215.4343,	 0.4682
218.4545,	 0.4729
221.4747,	 0.4776
224.4949,	 0.4823
227.5152,	 0.4871
230.5354,	 0.4919
233.5556,	 0.4967
236.5758,	 0.5015
239.5960,	 0.5064
242.6162,	 0.5113
245.6364,	 0.5162
248.6566,	 0.5211
251.6768,	 0.5261
254.6970,	 0.5311
257.7172,	 0.5360
260.7374,	 0.5411
263.7576,	 0.5461
266.7778,	 0.5512
269.7980,	 0.5562
272.8182,	 0.5613
275.8384,	 0.5665
278.8586,	 0.5716
281.8788,	 0.5767
284.8990,	 0.5819
287.9192,	 0.5871
290.9394,	 0.5923
293.9596,	 0.5975
296.9798,	 0.6027
300.0000,	 0.6080
