position, t_0, t_0_03, t_0_06, t_0_1
0.00,	20.000,	21.575,	24.715,	28.018
0.02,	17.300,	21.268,	24.590,	27.949
0.04,	11.384,	20.533,	24.259,	27.761
0.06,	6.128,	19.664,	23.820,	27.496
0.08,	3.265,	18.798,	23.352,	27.197
0.10,	2.219,	17.952,	22.896,	26.893
0.12,	1.954,	17.112,	22.464,	26.599
0.14,	1.907,	16.255,	22.048,	26.315
0.16,	1.901,	15.339,	21.634,	26.038
0.18,	1.900,	14.301,	21.205,	25.762
0.20,	1.900,	12.968,	20.747,	25.482
0.22,	1.900,	10.476,	20.259,	25.197
0.24,	1.900,	7.438,	19.746,	24.905
0.26,	1.900,	5.670,	19.203,	24.605
0.28,	1.900,	4.598,	18.612,	24.296
0.30,	1.900,	3.886,	17.941,	23.975
0.32,	1.900,	3.389,	17.175,	23.646
0.34,	1.900,	3.029,	16.326,	23.309
0.36,	1.900,	2.761,	15.396,	22.966
0.38,	1.900,	2.559,	14.347,	22.611
0.40,	1.900,	2.405,	13.099,	22.238
0.42,	1.900,	2.285,	11.494,	21.841
0.44,	1.900,	2.193,	8.974,	21.423
0.46,	1.900,	2.122,	6.197,	20.988
0.48,	1.900,	2.067,	4.809,	20.540
0.50,	1.900,	2.025,	3.996,	20.070
0.52,	1.900,	1.993,	3.469,	19.561
0.54,	1.900,	1.969,	3.103,	18.991
0.56,	1.900,	1.950,	2.835,	18.358
0.58,	1.900,	1.937,	2.633,	17.673
0.60,	1.900,	1.926,	2.477,	16.938
0.62,	1.900,	1.919,	2.355,	16.116
0.64,	1.900,	1.914,	2.259,	15.100
0.66,	1.900,	1.910,	2.184,	13.739
0.68,	1.900,	1.907,	2.124,	11.977
0.70,	1.900,	1.905,	2.076,	9.367
0.72,	1.900,	1.904,	2.039,	6.565
0.74,	1.900,	1.903,	2.009,	5.143
0.76,	1.900,	1.902,	1.985,	4.291
0.78,	1.900,	1.901,	1.967,	3.722
0.80,	1.900,	1.901,	1.952,	3.314
0.82,	1.900,	1.901,	1.941,	3.011
0.84,	1.900,	1.901,	1.932,	2.780
0.86,	1.900,	1.901,	1.925,	2.603
0.88,	1.900,	1.901,	1.919,	2.467
0.90,	1.900,	1.901,	1.915,	2.363
0.92,	1.900,	1.901,	1.912,	2.284
0.94,	1.900,	1.901,	1.910,	2.227
0.96,	1.900,	1.901,	1.909,	2.189
0.98,	1.900,	1.901,	1.908,	2.167
1.00,	1.900,	1.901,	1.908,	2.160
