position, t_0, t_0_03, t_0_06, t_0_1, t_0_3, t_0_5
0.000,	20.000,	20.280,	21.553,	23.484,	31.901,	39.268
0.020,	17.300,	18.992,	20.828,	23.067,	31.767,	39.167
0.040,	11.384,	16.463,	19.307,	22.111,	31.414,	38.891
0.060,	6.128,	14.004,	17.736,	21.038,	30.944,	38.506
0.080,	3.265,	11.602,	16.298,	20.028,	30.445,	38.078
0.100,	2.219,	8.795,	14.923,	19.090,	29.961,	37.649
0.120,	1.954,	6.114,	13.444,	18.179,	29.504,	37.238
0.140,	1.907,	4.690,	11.656,	17.249,	29.070,	36.849
0.160,	1.901,	3.839,	9.090,	16.255,	28.651,	36.477
0.180,	1.900,	3.284,	6.374,	15.142,	28.238,	36.117
0.200,	1.900,	2.900,	4.899,	13.859,	27.826,	35.765
0.220,	1.900,	2.626,	4.026,	12.334,	27.410,	35.417
0.240,	1.900,	2.425,	3.467,	10.317,	26.987,	35.071
0.260,	1.900,	2.278,	3.083,	7.730,	26.556,	34.725
0.280,	1.900,	2.169,	2.806,	5.454,	26.116,	34.380
0.300,	1.900,	2.090,	2.600,	4.334,	25.665,	34.033
0.320,	1.900,	2.033,	2.443,	3.676,	25.202,	33.686
0.340,	1.900,	1.992,	2.320,	3.245,	24.726,	33.336
0.360,	1.900,	1.962,	2.225,	2.942,	24.235,	32.986
0.380,	1.900,	1.941,	2.151,	2.719,	23.727,	32.633
0.400,	1.900,	1.927,	2.094,	2.551,	23.201,	32.278
0.420,	1.900,	1.917,	2.048,	2.420,	22.654,	31.921
0.440,	1.900,	1.911,	2.013,	2.317,	22.085,	31.561
0.460,	1.900,	1.907,	1.985,	2.235,	21.488,	31.198
0.480,	1.900,	1.904,	1.964,	2.169,	20.861,	30.832
0.500,	1.900,	1.903,	1.948,	2.116,	20.199,	30.462
0.520,	1.900,	1.902,	1.935,	2.073,	19.494,	30.089
0.540,	1.900,	1.901,	1.926,	2.039,	18.739,	29.711
0.560,	1.900,	1.901,	1.919,	2.011,	17.924,	29.329
0.580,	1.900,	1.901,	1.913,	1.988,	17.034,	28.941
0.600,	1.900,	1.900,	1.910,	1.970,	16.041,	28.549
0.620,	1.900,	1.900,	1.907,	1.955,	14.918,	28.150
0.640,	1.900,	1.900,	1.905,	1.944,	13.624,	27.744
0.660,	1.900,	1.900,	1.904,	1.934,	12.004,	27.331
0.680,	1.900,	1.900,	1.903,	1.927,	9.483,	26.909
0.700,	1.900,	1.900,	1.902,	1.921,	6.691,	26.477
0.720,	1.900,	1.900,	1.901,	1.916,	5.129,	26.035
0.740,	1.900,	1.900,	1.901,	1.912,	4.200,	25.582
0.760,	1.900,	1.900,	1.901,	1.910,	3.612,	25.117
0.780,	1.900,	1.900,	1.901,	1.907,	3.217,	24.638
0.800,	1.900,	1.900,	1.901,	1.906,	2.937,	24.144
0.820,	1.900,	1.900,	1.901,	1.905,	2.731,	23.633
0.840,	1.900,	1.900,	1.901,	1.904,	2.575,	23.104
0.860,	1.900,	1.900,	1.901,	1.903,	2.453,	22.553
0.880,	1.900,	1.900,	1.901,	1.902,	2.355,	21.979
0.900,	1.900,	1.900,	1.901,	1.902,	2.278,	21.377
0.920,	1.900,	1.900,	1.901,	1.902,	2.214,	20.744
0.940,	1.900,	1.900,	1.901,	1.901,	2.163,	20.074
0.960,	1.900,	1.900,	1.901,	1.901,	2.120,	19.361
0.980,	1.900,	1.900,	1.901,	1.901,	2.085,	18.597
1.000,	1.900,	1.900,	1.901,	1.901,	2.056,	17.769
1.020,	1.900,	1.900,	1.901,	1.901,	2.031,	16.860
1.040,	1.900,	1.900,	1.901,	1.901,	2.011,	15.849
1.060,	1.900,	1.900,	1.901,	1.901,	1.994,	14.706
1.080,	1.900,	1.900,	1.901,	1.901,	1.979,	13.342
1.100,	1.900,	1.900,	1.901,	1.901,	1.967,	11.610
1.120,	1.900,	1.900,	1.901,	1.901,	1.957,	9.069
1.140,	1.900,	1.900,	1.901,	1.901,	1.948,	6.371
1.160,	1.900,	1.900,	1.901,	1.901,	1.941,	4.916
1.180,	1.900,	1.900,	1.901,	1.901,	1.934,	4.065
1.200,	1.900,	1.900,	1.901,	1.901,	1.929,	3.526
1.220,	1.900,	1.900,	1.901,	1.901,	1.925,	3.161
1.240,	1.900,	1.900,	1.901,	1.901,	1.921,	2.901
1.260,	1.900,	1.900,	1.901,	1.901,	1.918,	2.708
1.280,	1.900,	1.900,	1.901,	1.901,	1.916,	2.561
1.300,	1.900,	1.900,	1.901,	1.901,	1.913,	2.447
1.320,	1.900,	1.900,	1.901,	1.901,	1.912,	2.357
1.340,	1.900,	1.900,	1.901,	1.901,	1.910,	2.286
1.360,	1.900,	1.900,	1.901,	1.901,	1.909,	2.229
1.380,	1.900,	1.900,	1.901,	1.901,	1.908,	2.184
1.400,	1.900,	1.900,	1.901,	1.901,	1.907,	2.149
1.420,	1.900,	1.900,	1.901,	1.901,	1.907,	2.122
1.440,	1.900,	1.900,	1.901,	1.901,	1.906,	2.102
1.460,	1.900,	1.900,	1.901,	1.901,	1.906,	2.089
1.480,	1.900,	1.900,	1.901,	1.901,	1.906,	2.081
1.500,	1.900,	1.900,	1.901,	1.901,	1.906,	2.078
							 
