time, 50_nodes, 100_nodes, 1000_nodes
0.010, -0.578,	-0.834,  -0.937
0.020, -0.594,	-0.907,  -1.050
0.030, -0.729,	-1.006,  -1.159
0.040, -0.880,	-1.086,  -1.234
0.050, -1.018,	-1.147,  -1.286
0.060, -1.132,	-1.193,  -1.320
0.070, -1.224,	-1.227,  -1.343
0.080, -1.296,	-1.253,  -1.359
0.090, -1.352,	-1.273,  -1.369
0.100, -1.395,	-1.288,  -1.377
0.110, -1.429,	-1.300,  -1.382
0.120, -1.455,	-1.310,  -1.386
0.130, -1.476,	-1.318,  -1.389
0.140, -1.493,	-1.326,  -1.392
0.150, -1.507,	-1.332,  -1.394
0.160, -1.518,	-1.339,  -1.397
0.170, -1.528,	-1.345,  -1.400
0.180, -1.537,	-1.351,  -1.403
0.190, -1.545,	-1.357,  -1.406
0.200, -1.552,	-1.363,  -1.410
0.210, -1.561,	-1.371,  -1.416
0.220, -1.572,	-1.381,  -1.423
0.230, -1.582,	-1.390,  -1.431
0.240, -1.592,	-1.400,  -1.439
0.250, -1.602,	-1.410,  -1.447
0.260, -1.613,	-1.420,  -1.456
0.270, -1.623,	-1.431,  -1.466
0.280, -1.634,	-1.442,  -1.475
0.290, -1.645,	-1.453,  -1.485
0.300, -1.656,	-1.465,  -1.496
0.310, -1.668,	-1.477,  -1.507
0.320, -1.680,	-1.489,  -1.518
0.330, -1.693,	-1.502,  -1.530
0.340, -1.705,	-1.515,  -1.543
0.350, -1.719,	-1.529,  -1.556
0.360, -1.733,	-1.543,  -1.569
0.370, -1.747,	-1.558,  -1.583
0.380, -1.762,	-1.573,  -1.597
0.390, -1.777,	-1.588,  -1.612
0.400, -1.793,	-1.604,  -1.627
0.410, -1.809,	-1.620,  -1.643
0.420, -1.826,	-1.637,  -1.659
0.430, -1.844,	-1.655,  -1.676
0.440, -1.862,	-1.673,  -1.693
0.450, -1.881,	-1.691,  -1.711
0.460, -1.900,	-1.710,  -1.730
0.470, -1.920,	-1.730,  -1.749
0.480, -1.940,	-1.750,  -1.769
0.490, -1.962,	-1.771,  -1.789
0.500, -1.984,	-1.793,  -1.810

