time,    50_nodes_quench_velocity,  100_nodes_quench_velocity, 1000_nodes_quench_velocity, heat_balance_benchmark 
0.01,	0.00358,	0.00417,	0.00394,	0.00436
0.02,	0.00477,	0.00537,	0.00525,	0.00561
0.03,	0.00597,	0.00657,	0.00657,	0.00694
0.04,	0.00718,	0.00778,	0.00790,	0.00821
0.05,	0.00840,	0.00901,	0.00924,	0.00956
0.06,	0.00964,	0.01083,	0.01054,	0.01092
0.07,	0.01088,	0.01208,	0.01191,	0.01224
0.08,	0.01215,	0.01335,	0.01329,	0.01363
0.09,	0.01459,	0.01463,	0.01469,	0.01504
0.10,	0.01588,	0.01593,	0.01611,	0.01641
0.11,	0.01719,	0.01725,	0.01748,	0.01785
0.12,	0.01851,	0.01916,	0.01893,	0.01932
0.13,	0.01986,	0.02052,	0.02040,	0.02080
0.14,	0.02122,	0.02189,	0.02189,	0.02230
0.15,	0.02260,	0.02328,	0.02339,	0.02376
0.16,	0.02400,	0.02469,	0.02486,	0.02530
0.17,	0.02542,	0.02670,	0.02641,	0.02687
0.18,	0.02686,	0.02815,	0.02798,	0.02846
0.19,	0.02833,	0.02963,	0.02957,	0.03007
0.20,	0.03098,	0.03112,	0.03118,	0.03165
0.21,	0.03249,	0.03264,	0.03276,	0.03331
0.22,	0.03403,	0.03419,	0.03442,	0.03499
0.23,	0.03559,	0.03634,	0.03611,	0.03671
0.24,	0.03717,	0.03794,	0.03782,	0.03845
0.25,	0.03878,	0.03956,	0.03956,	0.04016
0.26,	0.04042,	0.04121,	0.04127,	0.04196
0.27,	0.04209,	0.04289,	0.04306,	0.04379
0.28,	0.04378,	0.04460,	0.04489,	0.04565
0.29,	0.04551,	0.04692,	0.04674,	0.04754
0.30,	0.04726,	0.04869,	0.04863,	0.04941
0.31,	0.05021,	0.05049,	0.05048,	0.05137
0.32,	0.05203,	0.05232,	0.05243,	0.05336
0.33,	0.05388,	0.05418,	0.05442,	0.05539
0.34,	0.05577,	0.05667,	0.05644,	0.05746
0.35,	0.05769,	0.05861,	0.05849,	0.05951
0.36,	0.05965,	0.06058,	0.06052,	0.06166
0.37,	0.06165,	0.06259,	0.06265,	0.06385
0.38,	0.06368,	0.06464,	0.06482,	0.06608
0.39,	0.06576,	0.06674,	0.06703,	0.06835
0.40,	0.06787,	0.06945,	0.06928,	0.07067
0.41,	0.07003,	0.07163,	0.07152,	0.07298
0.42,	0.07340,	0.07386,	0.07386,	0.07540
0.43,	0.07565,	0.07613,	0.07624,	0.07787
0.44,	0.07795,	0.07844,	0.07868,	0.08039
0.45,	0.08030,	0.08139,	0.08116,	0.08296
0.46,	0.08269,	0.08381,	0.08364,	0.08554
0.47,	0.08514,	0.08628,	0.08622,	0.08822
0.48,	0.08764,	0.08880,	0.08886,	0.09097
0.49,	0.09020,	0.09139,	0.09156,	0.09378
0.50,	0.09281,	0.09403,	0.09432,	0.09666
