current, inductance
1.00,	-0.50
1.27,	-0.50
1.55,	-0.50
1.82,	-0.50
2.09,	-0.50
2.36,	-0.50
2.64,	-0.50
2.91,	-0.50
3.18,	-0.50
3.45,	-0.50
3.73,	-0.50
4.00,	-0.50
4.27,	-0.50
4.54,	-0.50
4.82,	-0.50
5.09,	-0.50
5.36,	-0.50
5.63,	-0.50
5.91,	-0.50
6.18,	-0.50
6.45,	-0.50
6.73,	-0.50
7.00,	-0.50
7.27,	-0.50
7.54,	-0.50
7.82,	-0.50
8.09,	-0.50
8.36,	-0.50
8.63,	-0.50
8.91,	-0.50
9.18,	-0.50
9.45,	-0.50
9.72,	-0.50
10.00,	-0.50
10.27,	-0.50
10.54,	-0.50
10.81,	-0.50
11.09,	-0.50
11.36,	-0.50
11.63,	-0.50
11.91,	-0.50
12.18,	-0.50
12.45,	-0.50
12.72,	-0.50
13.00,	-0.50
13.27,	-0.50
13.54,	-0.50
13.81,	-0.50
14.09,	-0.50
14.36,	-0.50
14.63,	-0.50
14.90,	-0.50
15.18,	-0.50
15.45,	-0.50
15.72,	-0.50
15.99,	-0.50
16.27,	-0.50
16.54,	-0.50
16.81,	-0.50
17.09,	-0.50
17.36,	-0.50
17.63,	-0.50
17.90,	-0.50
18.18,	-0.50
18.45,	-0.50
18.72,	-0.50
18.99,	-0.50
19.27,	-0.50
19.54,	-0.50
19.81,	-0.50
20.08,	-0.50
20.36,	-0.50
20.63,	-0.50
20.90,	-0.50
21.18,	-0.50
21.45,	-0.50
21.72,	-0.50
21.99,	-0.50
22.27,	-0.50
22.54,	-0.50
22.81,	-0.50
23.08,	-0.50
23.36,	-0.50
23.63,	-0.50
23.90,	-0.51
24.17,	-0.51
24.45,	-0.51
24.72,	-0.51
24.99,	-0.52
25.26,	-0.52
25.54,	-0.52
25.81,	-0.53
26.08,	-0.53
26.36,	-0.54
26.63,	-0.54
26.90,	-0.55
27.17,	-0.56
27.45,	-0.56
27.72,	-0.57
27.99,	-0.58
28.26,	-0.59
28.54,	-0.60
28.81,	-0.61
29.08,	-0.62
29.35,	-0.63
29.63,	-0.64
29.90,	-0.65
30.17,	-0.67
30.44,	-0.68
30.72,	-0.70
30.99,	-0.71
31.26,	-0.73
31.54,	-0.74
31.81,	-0.76
32.08,	-0.78
32.35,	-0.80
32.63,	-0.82
32.90,	-0.84
33.17,	-0.86
33.44,	-0.88
33.72,	-0.90
33.99,	-0.93
34.26,	-0.95
34.53,	-0.98
34.81,	-1.00
35.08,	-1.03
35.35,	-1.06
35.62,	-1.08
35.90,	-1.11
36.17,	-1.14
36.44,	-1.17
36.72,	-1.21
36.99,	-1.24
37.26,	-1.27
37.53,	-1.31
37.81,	-1.34
38.08,	-1.38
38.35,	-1.41
38.62,	-1.45
38.90,	-1.49
39.17,	-1.53
39.44,	-1.57
39.71,	-1.61
39.99,	-1.66
40.26,	-1.70
40.53,	-1.75
40.80,	-1.79
41.08,	-1.84
41.35,	-1.89
41.62,	-1.94
41.90,	-1.99
42.17,	-2.04
42.44,	-2.09
42.71,	-2.15
42.99,	-2.20
43.26,	-2.26
43.53,	-2.32
43.80,	-2.38
44.08,	-2.44
44.35,	-2.50
44.62,	-2.57
44.89,	-2.63
45.17,	-2.70
45.44,	-2.77
45.71,	-2.84
45.98,	-2.91
46.26,	-2.99
46.53,	-3.06
46.80,	-3.14
47.08,	-3.22
47.35,	-3.30
47.62,	-3.38
47.89,	-3.46
48.17,	-3.55
48.44,	-3.64
48.71,	-3.73
48.98,	-3.82
49.26,	-3.91
49.53,	-4.01
49.80,	-4.11
50.07,	-4.20
50.35,	-4.31
50.62,	-4.41
50.89,	-4.51
51.17,	-4.62
51.44,	-4.72
51.71,	-4.83
51.98,	-4.94
52.26,	-5.06
52.53,	-5.17
52.80,	-5.28
53.07,	-5.40
53.35,	-5.52
53.62,	-5.64
53.89,	-5.76
54.16,	-5.88
54.44,	-6.00
54.71,	-6.13
54.98,	-6.25
55.25,	-6.38
55.53,	-6.51
55.80,	-6.64
56.07,	-6.76
56.35,	-6.90
56.62,	-7.03
56.89,	-7.16
57.16,	-7.29
57.44,	-7.43
57.71,	-7.56
57.98,	-7.70
58.25,	-7.84
58.53,	-7.97
58.80,	-8.11
59.07,	-8.25
59.34,	-8.39
59.62,	-8.53
59.89,	-8.67
60.16,	-8.81
60.43,	-8.95
60.71,	-9.09
60.98,	-9.24
