time, v_capacitor, p_capacitor
0.0,	19.003,	0.000
0.2,	18.951,	69.160
0.4,	17.501,	1849.610
0.6,	16.424,	1279.140
0.8,	15.463,	1072.680
1.0,	14.534,	975.450
1.2,	13.753,	773.140
1.4,	13.056,	653.840
1.6,	12.319,	654.430
1.8,	11.530,	658.540
2.0,	10.777,	587.830
2.2,	10.196,	426.270
2.4,	9.632,	391.870
2.6,	8.947,	445.300
2.8,	8.482,	283.390
3.0,	8.018,	268.280
3.2,	7.545,	257.410
3.4,	7.121,	217.900
3.6,	6.656,	224.000
3.8,	6.264,	177.470
4.0,	5.975,	123.510
4.2,	5.667,	125.650
4.4,	5.326,	130.980
4.6,	5.022,	110.240
4.8,	4.718,	103.760
5.0,	4.489,	73.560
5.2,	4.193,	90.060
5.4,	3.913,	79.530
5.6,	3.608,	80.120
5.8,	3.508,	24.940
6.0,	3.332,	42.190
6.2,	3.128,	46.180
6.4,	2.940,	39.970
6.6,	2.779,	32.060
6.8,	2.639,	26.580
7.0,	2.515,	22.400
7.2,	2.363,	25.980
7.4,	2.259,	16.840
7.6,	2.115,	22.070
7.8,	1.994,	17.280
8.0,	1.854,	18.880
8.2,	1.746,	13.630
8.4,	1.690,	6.740
8.6,	1.566,	14.150
8.8,	1.450,	12.260
9.0,	1.386,	6.360
9.2,	1.358,	2.690
9.4,	1.286,	6.670
9.6,	1.246,	3.550
9.8,	1.137,	9.020
10.0,	1.177,	-3.240
10.2,	1.129,	3.880
10.4,	1.017,	8.420
10.6,	0.949,	4.690
10.8,	0.937,	0.790
11.0,	0.969,	-2.140
11.2,	0.941,	1.870
11.4,	0.849,	5.770
11.6,	0.789,	3.440
11.8,	0.745,	2.360
12.0,	0.733,	0.620
12.2,	0.657,	3.700
12.4,	0.617,	1.790
12.6,	0.617,	0.000
12.8,	0.673,	-2.530
13.0,	0.629,	2.010
13.2,	0.633,	-0.180
13.4,	0.489,	5.660
13.6,	0.505,	-0.560
13.8,	0.549,	-1.620
14.0,	0.585,	-1.430
14.2,	0.489,	3.610
14.4,	0.481,	0.270
14.6,	0.469,	0.400
14.8,	0.481,	-0.400
15.0,	0.405,	2.360
15.2,	0.385,	0.550
15.4,	0.417,	-0.900
15.6,	0.457,	-1.220
15.8,	0.485,	-0.920
16.0,	0.469,	0.530
16.2,	0.409,	1.840
16.4,	0.453,	-1.330
16.6,	0.465,	-0.390
16.8,	0.437,	0.880
17.0,	0.328,	2.890
17.2,	0.276,	1.100
17.4,	0.292,	-0.320
17.6,	0.308,	-0.340
17.8,	0.328,	-0.450
18.0,	0.308,	0.450
18.2,	0.324,	-0.350
18.4,	0.356,	-0.760
18.6,	0.356,	0.000
18.8,	0.312,	1.030
19.0,	0.292,	0.420
19.2,	0.324,	-0.690
19.4,	0.372,	-1.170
19.6,	0.381,	-0.210
19.8,	0.276,	2.390
20.0,	0.224,	0.910
20.2,	0.240,	-0.260
20.4,	0.304,	-1.220
20.6,	0.292,	0.250
20.8,	0.312,	-0.420
21.0,	0.284,	0.590
21.2,	0.352,	-1.520
21.4,	0.360,	-0.200
21.6,	0.320,	0.950
21.8,	0.212,	2.020
22.0,	0.252,	-0.650
22.2,	0.268,	-0.290
22.4,	0.284,	-0.310
22.6,	0.232,	0.940
22.8,	0.224,	0.130
23.0,	0.256,	-0.540
23.2,	0.272,	-0.300
23.4,	0.280,	-0.150
23.6,	0.256,	0.450
23.8,	0.216,	0.660
24.0,	0.296,	-1.440
24.2,	0.393,	-2.320
24.4,	0.276,	2.720
24.6,	0.236,	0.720
24.8,	0.200,	0.550
25.0,	0.212,	-0.170
25.2,	0.304,	-1.670
25.4,	0.260,	0.870
25.6,	0.248,	0.210
25.8,	0.276,	-0.510
26.0,	0.268,	0.150
26.2,	0.256,	0.220
26.4,	0.248,	0.140
26.6,	0.208,	0.640
26.8,	0.208,	0.000
27.0,	0.220,	-0.180
27.2,	0.240,	-0.320
27.4,	0.204,	0.560
27.6,	0.188,	0.220
27.8,	0.220,	-0.460
28.0,	0.228,	-0.130
28.2,	0.236,	-0.130
28.4,	0.208,	0.440
28.6,	0.208,	0.000
28.8,	0.248,	-0.640
29.0,	0.264,	-0.290
29.2,	0.256,	0.150
29.4,	0.208,	0.780
29.6,	0.212,	-0.060
29.8,	0.208,	0.060
30.0,	0.196,	0.170
30.2,	0.180,	0.210
30.4,	0.192,	-0.160
30.6,	0.208,	-0.220
30.8,	0.284,	-1.310
31.0,	0.264,	0.380
31.2,	0.192,	1.150
31.4,	0.184,	0.110
31.6,	0.176,	0.100
31.8,	0.104,	0.710
32.0,	0.164,	-0.560
32.2,	0.124,	0.400
32.4,	0.176,	-0.550
32.6,	0.204,	-0.370
32.8,	0.152,	0.650
33.0,	0.172,	-0.230
33.2,	0.152,	0.230
33.4,	0.140,	0.120
33.6,	0.208,	-0.830
33.8,	0.220,	-0.180
34.0,	0.196,	0.350
34.2,	0.176,	0.260
34.4,	0.240,	-0.930
34.6,	0.184,	0.830
34.8,	0.144,	0.460
35.0,	0.188,	-0.510
35.2,	0.220,	-0.460
35.4,	0.296,	-1.380
35.6,	0.264,	0.630
35.8,	0.196,	1.100
36.0,	0.180,	0.210
36.2,	0.188,	-0.100
36.4,	0.188,	0.000
36.6,	0.156,	0.390
36.8,	0.060,	0.730
37.0,	0.116,	-0.350
37.2,	0.164,	-0.470
37.4,	0.208,	-0.570
37.6,	0.196,	0.170
37.8,	0.216,	-0.290
38.0,	0.212,	0.060
38.2,	0.228,	-0.250
38.4,	0.232,	-0.060
