METERS,	T_init,	case1,	case2,	case3
0.000,  	4.300,	47.097, 	42.556, 	38.320
0.710,  	4.300,	45.304, 	42.083, 	39.006
1.404,  	4.300,	45.891, 	41.933, 	38.486
2.094,  	4.300,	47.539, 	42.930, 	38.571
2.803,  	4.300,	45.673, 	42.197, 	38.723
3.492,  	4.300,	44.957, 	41.285, 	38.279
4.187,  	4.300,	47.403, 	42.931, 	38.612
4.897,  	4.300,	45.799, 	41.850, 	38.046
5.571,  	4.300,	44.347, 	40.901, 	38.124
6.281,  	4.300,	46.430, 	42.155, 	38.104
6.972,  	4.300,	45.639, 	41.328, 	37.352
7.664,  	4.300,	43.800, 	40.488, 	37.724
8.374,  	4.300,	44.713, 	40.698, 	37.123
9.048,  	4.300,	44.964, 	40.507, 	36.449
9.758,  	4.300,	43.273, 	39.842, 	36.856
10.451,   4.300,	42.966, 	39.196, 	36.049
11.142,   4.300,	44.249, 	39.840, 	35.750
11.852,   4.300,	42.633, 	38.882, 	35.584
12.525,   4.300,	41.387, 	37.807, 	34.963
13.235,   4.300,	42.810, 	38.590, 	34.680
13.930,   4.300,	41.777, 	37.736, 	34.212
14.619,   4.300,	40.022, 	36.546, 	33.844
15.329,   4.300,	40.832, 	36.846, 	33.286
16.018,   4.300,	40.833, 	36.571, 	32.853
16.713,   4.300,	38.909, 	35.371, 	32.574
17.422,   4.300,	38.783, 	35.023, 	31.844
18.097,   4.300,	39.281, 	35.031, 	31.308
18.807,   4.300,	38.007, 	34.279, 	31.250
19.497,   4.300,	37.153, 	33.526, 	30.568
20.190,   4.300,	37.953, 	33.816, 	30.176
20.900,   4.300,	37.278, 	33.322, 	30.038
21.574,   4.300,	35.899, 	32.330, 	29.471
22.284,   4.300,	36.511, 	32.556, 	29.120
22.977,   4.300,	36.624, 	32.514, 	29.062
23.668,   4.300,	35.061, 	31.465, 	28.586
24.377,   4.300,	35.235, 	31.459, 	28.251
25.052,   4.300,	35.986, 	31.797, 	28.256
25.761,   4.300,	34.660, 	30.952, 	27.948
26.456,   4.300,	34.415, 	30.743, 	27.684
27.145,   4.300,	35.341, 	31.223, 	27.710
27.855,   4.300,	34.638, 	30.774, 	27.602
28.544,   4.300,	33.988, 	30.383, 	27.434
29.239,   4.300,	35.001, 	31.008, 	27.583
29.952,   4.300,	34.962, 	30.932, 	27.584
30.631,   4.300,	34.002, 	30.419, 	27.516
31.344,   4.300,	34.909, 	31.057, 	27.760
32.039,   4.300,	35.463, 	31.329, 	27.860
32.736,   4.300,	34.488, 	30.857, 	27.930
33.449,   4.300,	35.114, 	31.384, 	28.238
34.129,   4.300,	36.498, 	32.303, 	28.724
34.842,   4.300,	35.394, 	31.656, 	28.629
35.538,   4.300,	35.657, 	32.010, 	28.998
36.234,   4.300,	37.418, 	33.266, 	29.645
36.947,   4.300,	36.633, 	32.740, 	29.535
37.626,   4.300,	36.464, 	32.883, 	30.005
38.339,   4.300,	38.429, 	34.366, 	30.764
39.038,   4.300,	38.047, 	33.995, 	30.586
39.731,   4.300,	37.528, 	34.001, 	31.235
40.444,   4.300,	39.377, 	35.441, 	31.970
41.138,   4.300,	39.683, 	35.468, 	31.826
41.837,   4.300,	38.910, 	35.376, 	32.586
42.549,   4.300,	40.158, 	36.372, 	33.152
43.229,   4.300,	42.021, 	37.676, 	33.782
43.942,   4.300,	40.513, 	36.879, 	33.873
44.637,   4.300,	40.994, 	37.337, 	34.361
45.334,   4.300,	43.628, 	39.288, 	35.255
46.047,   4.300,	42.186, 	38.318, 	34.939
46.726,   4.300,	41.889, 	38.369, 	35.609
47.439,   4.300,	44.710, 	40.470, 	36.483
48.137,   4.300,	43.714, 	39.565, 	35.840
48.832,   4.300,	42.896, 	39.530, 	36.843
49.544,   4.300,	45.056, 	40.966, 	37.244
50.224,   4.300,	45.321, 	40.897, 	36.864
50.937,   4.300,	44.007, 	40.687, 	37.767
51.636,   4.300,	44.971, 	41.066, 	37.699
52.330,   4.300,	46.968, 	42.396, 	38.097
53.042,   4.300,	45.116, 	41.606, 	38.225
53.735,   4.300,	44.790, 	41.130, 	38.144
54.435,   4.300,	47.598, 	43.124, 	38.795
55.147,   4.300,	46.002, 	42.070, 	38.248
55.827,   4.300,	44.873, 	41.448, 	38.643
56.540,   4.300,	47.394, 	43.084, 	38.954
57.235,   4.300,	46.668, 	42.340, 	38.255
57.932,   4.300,	45.076, 	41.857, 	38.989
58.645,   4.300,	46.514, 	42.435, 	38.741
59.331,   4.300,	47.239, 	42.677, 	38.420
60.046,   4.300,	45.430, 	42.186, 	39.012
60.747,   4.300,	45.551, 	41.710, 	38.452
61.447,   4.300,	47.553, 	43.001, 	38.652
62.163,   4.300,	45.722, 	42.130, 	38.564
62.848,   4.300,	44.718, 	41.129, 	38.227
63.564,   4.300,	47.101, 	42.715, 	38.485
64.267,   4.300,	45.669, 	41.655, 	37.843
64.965,   4.300,	44.061, 	40.707, 	38.002
65.680,   4.300,	45.812, 	41.642, 	37.759
66.378,   4.300,	45.443, 	41.068, 	37.067
67.081,   4.300,	43.490, 	40.183, 	37.401
67.797,   4.300,	43.924, 	40.035, 	36.662
68.483,   4.300,	44.620, 	40.174, 	36.108
69.198,   4.300,	42.911, 	39.400, 	36.346
69.897,   4.300,	42.221, 	38.554, 	35.568
70.599,   4.300,	43.640, 	39.310, 	35.285
71.315,   4.300,	42.198, 	38.343, 	34.977
72.000,   4.300,	40.706, 	37.194, 	34.450
72.716,   4.300,	41.961, 	37.837, 	34.059
