time,	t_translated,	I_coil
0.00250, 	0.15250,    86.00000
0.00500, 	0.15500,    86.00000
0.00750, 	0.15750,    85.83930
0.01000, 	0.16000,    85.67900
0.01250, 	0.16250,    85.51920
0.01500, 	0.16500,    85.35980
0.01750, 	0.16750,    85.20080
0.02000, 	0.17000,    85.04230
0.02250, 	0.17250,    84.88420
0.02500, 	0.17500,    84.72650
0.02750, 	0.17750,    84.56930
0.03000, 	0.18000,    84.41250
0.03250, 	0.18250,    84.25610
0.03500, 	0.18500,    84.10010
0.03750, 	0.18750,    83.94460
0.04000, 	0.19000,    83.78950
0.04250, 	0.19250,    83.63480
0.04500, 	0.19500,    83.48050
0.04750, 	0.19750,    83.32660
0.05000, 	0.20000,    83.17320
0.05250, 	0.20250,    83.02010
0.05500, 	0.20500,    82.86750
0.05750, 	0.20750,    82.71530
0.06000, 	0.21000,    82.56350
0.06250, 	0.21250,    82.41210
0.06500, 	0.21500,    82.26110
0.06750, 	0.21750,    82.11060
0.07000, 	0.22000,    81.96040
0.07250, 	0.22250,    81.81060
0.07500, 	0.22500,    81.66120
0.07750, 	0.22750,    81.51230
0.08000, 	0.23000,    81.36370
0.08250, 	0.23250,    81.21560
0.08500, 	0.23500,    81.06780
0.08750, 	0.23750,    80.92040
0.09000, 	0.24000,    80.77340
0.09250, 	0.24250,    80.62680
0.09500, 	0.24500,    80.48070
0.09750, 	0.24750,    80.33490
0.10000, 	0.25000,    80.18940
0.10250, 	0.25250,    80.04440
0.10500, 	0.25500,    79.89980
0.10750, 	0.25750,    79.75550
0.11000, 	0.26000,    79.61170
0.11250, 	0.26250,    79.46820
0.11500, 	0.26500,    79.32510
0.11750, 	0.26750,    79.18240
0.12000, 	0.27000,    79.04000
0.12250, 	0.27250,    78.89810
0.12500, 	0.27500,    78.75650
0.12750, 	0.27750,    78.61530
0.13000, 	0.28000,    78.47450
0.13250, 	0.28250,    78.33400
0.13500, 	0.28500,    78.19400
0.13750, 	0.28750,    78.05430
0.14000, 	0.29000,    77.91490
0.14250, 	0.29250,    77.77600
0.14500, 	0.29500,    77.63740
0.14750, 	0.29750,    77.49910
0.15000, 	0.30000,    77.36130
0.15250, 	0.30250,    77.22380
0.15500, 	0.30500,    77.08670
0.15750, 	0.30750,    76.94990
0.16000, 	0.31000,    76.81350
0.16250, 	0.31250,    76.67740
0.16500, 	0.31500,    76.54180
0.16750, 	0.31750,    76.40640
0.17000, 	0.32000,    76.27150
0.17250, 	0.32250,    76.13690
0.17500, 	0.32500,    76.00260
0.17750, 	0.32750,    75.86870
0.18000, 	0.33000,    75.73520
0.18250, 	0.33250,    75.60200
0.18500, 	0.33500,    75.46910
0.18750, 	0.33750,    75.33660
0.19000, 	0.34000,    75.20450
0.19250, 	0.34250,    75.07270
0.19500, 	0.34500,    74.94120
0.19750, 	0.34750,    74.81010
0.20000, 	0.35000,    74.67940
0.20250, 	0.35250,    74.54900
0.20500, 	0.35500,    74.41890
0.20750, 	0.35750,    74.28910
0.21000, 	0.36000,    74.15980
0.21250, 	0.36250,    74.03070
0.21500, 	0.36500,    73.90200
0.21750, 	0.36750,    73.77360
0.22000, 	0.37000,    73.64560
0.22250, 	0.37250,    73.51790
0.22500, 	0.37500,    73.39050
0.22750, 	0.37750,    73.26350
0.23000, 	0.38000,    73.13680
0.23250, 	0.38250,    73.01040
0.23500, 	0.38500,    72.88430
0.23750, 	0.38750,    72.75860
0.24000, 	0.39000,    72.63320
0.24250, 	0.39250,    72.50820
0.24500, 	0.39500,    72.38340
0.24750, 	0.39750,    72.25900
0.25000, 	0.40000,    72.13500
0.25250, 	0.40250,    72.01120
0.25500, 	0.40500,    71.88780
0.25750, 	0.40750,    71.76460
0.26000, 	0.41000,    71.64190
0.26250, 	0.41250,    71.51940
0.26500, 	0.41500,    71.39720
0.26750, 	0.41750,    71.27540
0.27000, 	0.42000,    71.15390
0.27250, 	0.42250,    71.03270
0.27500, 	0.42500,    70.91180
0.27750, 	0.42750,    70.79130
0.28000, 	0.43000,    70.67110
0.28250, 	0.43250,    70.55110
0.28500, 	0.43500,    70.43150
0.28750, 	0.43750,    70.31220
0.29000, 	0.44000,    70.19330
0.29250, 	0.44250,    70.07460
0.29500, 	0.44500,    69.95630
0.29750, 	0.44750,    69.83820
0.30000, 	0.45000,    69.72050
0.30250, 	0.45250,    69.60310
0.30500, 	0.45500,    69.48600
0.30750, 	0.45750,    69.36920
0.31000, 	0.46000,    69.25270
0.31250, 	0.46250,    69.13650
0.31500, 	0.46500,    69.02060
0.31750, 	0.46750,    68.90500
0.32000, 	0.47000,    68.78980
0.32250, 	0.47250,    68.67480
0.32500, 	0.47500,    68.56020
0.32750, 	0.47750,    68.44580
0.33000, 	0.48000,    68.33170
