time, 	time_delayed,	Current,	Resistance,	V_res, Hot_spot
0.0025,	-0.2275,	86.0000,	6.0420E-05, 	5.1961E-03, 	10.451
0.0050,	-0.2250,	86.0000,	7.5491E-05, 	6.4922E-03, 	10.863
0.0075,	-0.2225,	86.0000,	7.5535E-05, 	6.4960E-03, 	11.189
0.0100,	-0.2200,	86.0000,	9.0616E-05, 	7.7930E-03, 	11.453
0.0125,	-0.2175,	86.0000,	9.0668E-05, 	7.7974E-03, 	11.673
0.0150,	-0.2150,	86.0000,	1.0574E-04, 	9.0938E-03, 	11.862
0.0175,	-0.2125,	86.0000,	1.0579E-04, 	9.0983E-03, 	12.026
0.0200,	-0.2100,	86.0000,	1.2086E-04, 	1.0394E-02, 	12.171
0.0225,	-0.2075,	86.0000,	1.2091E-04, 	1.0398E-02, 	12.300
0.0250,	-0.2050,	86.0000,	1.3596E-04, 	1.1693E-02, 	12.416
0.0275,	-0.2025,	86.0000,	1.3601E-04, 	1.1697E-02, 	12.521
0.0300,	-0.2000,	86.0000,	1.5106E-04, 	1.2991E-02, 	12.617
0.0325,	-0.1975,	86.0000,	1.5111E-04, 	1.2995E-02, 	12.705
0.0350,	-0.1950,	86.0000,	1.6616E-04, 	1.4289E-02, 	12.786
0.0375,	-0.1925,	86.0000,	1.6620E-04, 	1.4293E-02, 	12.861
0.0400,	-0.1900,	86.0000,	1.8124E-04, 	1.5587E-02, 	12.930
0.0425,	-0.1875,	86.0000,	1.9682E-04, 	1.6927E-02, 	12.995
0.0450,	-0.1850,	86.0000,	1.9686E-04, 	1.6930E-02, 	13.056
0.0475,	-0.1825,	86.0000,	2.1244E-04, 	1.8270E-02, 	13.114
0.0500,	-0.1800,	86.0000,	2.1248E-04, 	1.8273E-02, 	13.167
0.0525,	-0.1775,	86.0000,	2.2758E-04, 	1.9571E-02, 	13.218
0.0550,	-0.1750,	86.0000,	2.2761E-04, 	1.9575E-02, 	13.267
0.0575,	-0.1725,	86.0000,	2.4270E-04, 	2.0872E-02, 	13.312
0.0600,	-0.1700,	86.0000,	2.4274E-04, 	2.0875E-02, 	13.356
0.0625,	-0.1675,	86.0000,	2.5680E-04, 	2.2085E-02, 	13.397
0.0650,	-0.1650,	86.0000,	2.5684E-04, 	2.2088E-02, 	13.437
0.0675,	-0.1625,	86.0000,	2.7090E-04, 	2.3298E-02, 	13.475
