time, 	time_delayed,	Current,	Resistance,	V_res, Hot_spot
0.0025, 	-0.2675,	86.0000,	0.00006,    0.00520,	10.34255
0.0050, 	-0.2650,	86.0000,	0.00008,    0.00649,	10.67832
0.0075, 	-0.2625,	86.0000,	0.00008,    0.00649,	10.95721
0.0100, 	-0.2600,	86.0000,	0.00009,    0.00779,	11.19299
0.0125, 	-0.2575,	86.0000,	0.00009,    0.00779,	11.39518
0.0150, 	-0.2550,	86.0000,	0.00011,    0.00909,	11.57186
0.0175, 	-0.2525,	86.0000,	0.00011,    0.00909,	11.72835
0.0200, 	-0.2500,	86.0000,	0.00012,    0.01039,	11.86873
0.0225, 	-0.2475,	86.0000,	0.00012,    0.01039,	11.99541
0.0250, 	-0.2450,	86.0000,	0.00014,    0.01168,	12.11061
0.0275, 	-0.2425,	86.0000,	0.00014,    0.01169,	12.21583
0.0300, 	-0.2400,	86.0000,	0.00015,    0.01298,	12.31258
0.0325, 	-0.2375,	86.0000,	0.00015,    0.01299,	12.40189
0.0350, 	-0.2350,	86.0000,	0.00017,    0.01428,	12.48475
0.0375, 	-0.2325,	86.0000,	0.00017,    0.01428,	12.56189
0.0400, 	-0.2300,	86.0000,	0.00018,    0.01558,	12.63400
0.0425, 	-0.2275,	86.0000,	0.00020,    0.01692,	12.70159
0.0450, 	-0.2250,	86.0000,	0.00020,    0.01692,	12.76512
0.0475, 	-0.2225,	86.0000,	0.00021,    0.01826,	12.82500
0.0500, 	-0.2200,	86.0000,	0.00021,    0.01826,	12.88156
0.0525, 	-0.2175,	86.0000,	0.00023,    0.01956,	12.93513
0.0550, 	-0.2150,	86.0000,	0.00023,    0.01956,	12.98596
0.0575, 	-0.2125,	86.0000,	0.00024,    0.02086,	13.03429
0.0600, 	-0.2100,	86.0000,	0.00024,    0.02086,	13.08031
0.0625, 	-0.2075,	86.0000,	0.00026,    0.02207,	13.12423
0.0650, 	-0.2050,	86.0000,	0.00026,    0.02208,	13.16619
0.0675, 	-0.2025,	86.0000,	0.00027,    0.02329,	13.20634
0.0700, 	-0.2000,	86.0000,	0.00028,    0.02389,	13.24481
0.0725, 	-0.1975,	86.0000,	0.00028,    0.02450,	13.28173
0.0750, 	-0.1950,	86.0000,	0.00030,    0.02571,	13.31720
0.0775, 	-0.1925,	86.0000,	0.00030,    0.02571,	13.35131
0.0800, 	-0.1900,	86.0000,	0.00031,    0.02701,	13.38415
0.0825, 	-0.1875,	86.0000,	0.00031,    0.02701,	13.41580
0.0850, 	-0.1850,	86.0000,	0.00033,    0.02831,	13.44635
0.0875, 	-0.1825,	86.0000,	0.00033,    0.02831,	13.47584
0.0900, 	-0.1800,	86.0000,	0.00034,    0.02964,	13.50434
0.0925, 	-0.1775,	86.0000,	0.00034,    0.02965,	13.53191
0.0950, 	-0.1750,	86.0000,	0.00036,    0.03098,	13.55861
0.0975, 	-0.1725,	86.0000,	0.00036,    0.03099,	13.58447
0.1000, 	-0.1700,	86.0000,	0.00038,    0.03226,	13.60955
0.1025, 	-0.1675,	86.0000,	0.00038,    0.03226,	13.63389
0.1050, 	-0.1650,	86.0000,	0.00039,    0.03354,	13.65752
0.1075, 	-0.1625,	86.0000,	0.00040,    0.03481,	13.68048
0.1100, 	-0.1600,	86.0000,	0.00040,    0.03481,	13.70280
0.1125, 	-0.1575,	86.0000,	0.00042,    0.03609,	13.72452
0.1150, 	-0.1550,	86.0000,	0.00042,    0.03609,	13.74567
0.1175, 	-0.1525,	86.0000,	0.00043,    0.03737,	13.76626
0.1200, 	-0.1500,	86.0000,	0.00043,    0.03737,	13.78634
0.1225, 	-0.1475,	86.0000,	0.00045,    0.03864,	13.80591
0.1250, 	-0.1450,	86.0000,	0.00045,    0.03864,	13.82500
0.1275, 	-0.1425,	86.0000,	0.00046,    0.03992,	13.84364
0.1300, 	-0.1400,	86.0000,	0.00046,    0.03992,	13.86184
0.1325, 	-0.1375,	86.0000,	0.00048,    0.04120,	13.87962
0.1350, 	-0.1350,	86.0000,	0.00048,    0.04120,	13.89700
0.1375, 	-0.1325,	86.0000,	0.00049,    0.04247,	13.91399
0.1400, 	-0.1300,	86.0000,	0.00049,    0.04247,	13.93061
0.1425, 	-0.1275,	86.0000,	0.00051,    0.04375,	13.94687
0.1450, 	-0.1250,	86.0000,	0.00052,    0.04439,	13.96279
