y,x
0.471,	0.471
1.412,	0.471
2.353,	0.471
3.294,	0.471
4.235,	0.471
5.176,	0.471
6.117,	0.471
7.058,	0.471
7.999,	0.471
8.940,	0.471
9.881,	0.471
10.822,	0.471
11.763,	0.471
12.704,	0.471
13.645,	0.471
14.586,	0.471
15.527,	0.471
16.468,	0.471
17.409,	0.471
18.350,	0.471
19.291,	0.471
20.232,	0.471
21.173,	0.471
22.114,	0.471
23.055,	0.471
23.996,	0.471
24.937,	0.471
25.878,	0.471
26.819,	0.471
0.471,	1.412
1.412,	1.412
2.353,	1.412
3.294,	1.412
4.235,	1.412
5.176,	1.412
6.117,	1.412
7.058,	1.412
7.999,	1.412
8.940,	1.412
9.881,	1.412
10.822,	1.412
11.763,	1.412
12.704,	1.412
13.645,	1.412
14.586,	1.412
15.527,	1.412
16.468,	1.412
17.409,	1.412
18.350,	1.412
19.291,	1.412
20.232,	1.412
21.173,	1.412
22.114,	1.412
23.055,	1.412
23.996,	1.412
24.937,	1.412
25.878,	1.412
26.819,	1.412
0.471,	2.353
1.412,	2.353
2.353,	2.353
3.294,	2.353
4.235,	2.353
5.176,	2.353
6.117,	2.353
7.058,	2.353
7.999,	2.353
8.940,	2.353
9.881,	2.353
10.822,	2.353
11.763,	2.353
12.704,	2.353
13.645,	2.353
14.586,	2.353
15.527,	2.353
16.468,	2.353
17.409,	2.353
18.350,	2.353
19.291,	2.353
20.232,	2.353
21.173,	2.353
22.114,	2.353
23.055,	2.353
23.996,	2.353
24.937,	2.353
25.878,	2.353
26.819,	2.353
0.471,	3.294
1.412,	3.294
2.353,	3.294
3.294,	3.294
4.235,	3.294
5.176,	3.294
6.117,	3.294
7.058,	3.294
7.999,	3.294
8.940,	3.294
9.881,	3.294
10.822,	3.294
11.763,	3.294
12.704,	3.294
13.645,	3.294
14.586,	3.294
15.527,	3.294
16.468,	3.294
17.409,	3.294
18.350,	3.294
19.291,	3.294
20.232,	3.294
21.173,	3.294
22.114,	3.294
23.055,	3.294
23.996,	3.294
24.937,	3.294
25.878,	3.294
26.819,	3.294
0.471,	4.235
1.412,	4.235
2.353,	4.235
3.294,	4.235
4.235,	4.235
5.176,	4.235
6.117,	4.235
7.058,	4.235
7.999,	4.235
8.940,	4.235
9.881,	4.235
10.822,	4.235
11.763,	4.235
12.704,	4.235
13.645,	4.235
14.586,	4.235
15.527,	4.235
16.468,	4.235
17.409,	4.235
18.350,	4.235
19.291,	4.235
20.232,	4.235
21.173,	4.235
22.114,	4.235
23.055,	4.235
23.996,	4.235
24.937,	4.235
25.878,	4.235
26.819,	4.235
0.471,	5.176
1.412,	5.176
2.353,	5.176
3.294,	5.176
4.235,	5.176
5.176,	5.176
6.117,	5.176
7.058,	5.176
7.999,	5.176
8.940,	5.176
9.881,	5.176
10.822,	5.176
11.763,	5.176
12.704,	5.176
13.645,	5.176
14.586,	5.176
15.527,	5.176
16.468,	5.176
17.409,	5.176
18.350,	5.176
19.291,	5.176
20.232,	5.176
21.173,	5.176
22.114,	5.176
23.055,	5.176
23.996,	5.176
24.937,	5.176
25.878,	5.176
26.819,	5.176
0.471,	6.117
1.412,	6.117
2.353,	6.117
3.294,	6.117
4.235,	6.117
5.176,	6.117
6.117,	6.117
7.058,	6.117
7.999,	6.117
8.940,	6.117
9.881,	6.117
10.822,	6.117
11.763,	6.117
12.704,	6.117
13.645,	6.117
